# Time	Real(Cfs)
0.000000e+00	0.000000e+00
2.200000e+02	7.842157e-16
4.400000e+02	7.854651e-16
6.600000e+02	7.874738e-16
8.800000e+02	7.874470e-16
1.100000e+03	7.896926e-16
1.320000e+03	7.961605e-16
1.540000e+03	8.001314e-16
1.760000e+03	8.032704e-16
1.980000e+03	8.067825e-16
2.200000e+03	8.060407e-16
2.420000e+03	8.055019e-16
2.640000e+03	8.071758e-16
2.860000e+03	8.067852e-16
3.080000e+03	8.003848e-16
3.300000e+03	7.896426e-16
3.520000e+03	7.715691e-16
3.740000e+03	7.711041e-16
3.960000e+03	8.214677e-16
4.180000e+03	8.825418e-16
4.400000e+03	8.701819e-16
4.620000e+03	9.084314e-16
4.840000e+03	9.863416e-16
5.060000e+03	1.333003e-15
5.280000e+03	1.851081e-15
5.500000e+03	-8.661927e-16
5.720000e+03	-2.356838e-14
5.940000e+03	-1.173966e-13
6.160000e+03	-3.915194e-13
6.380000e+03	-1.003253e-12
6.600000e+03	-1.796741e-12
6.820000e+03	-6.796646e-13
7.040000e+03	7.961227e-12
7.260000e+03	2.801213e-11
7.480000e+03	5.841654e-11
7.700000e+03	1.136538e-10
7.920000e+03	2.072557e-10
8.140000e+03	3.131701e-10
8.360000e+03	4.401197e-10
8.580000e+03	5.912546e-10
8.800000e+03	7.319842e-10
9.020000e+03	8.626259e-10
9.240000e+03	9.808703e-10
9.460000e+03	1.081840e-09
9.680000e+03	1.151283e-09
9.900000e+03	1.222388e-09
1.012000e+04	1.265917e-09
1.034000e+04	1.304417e-09
1.056000e+04	1.338419e-09
1.078000e+04	1.354811e-09
1.100000e+04	1.379790e-09
1.122000e+04	1.386615e-09
1.144000e+04	1.402835e-09
1.166000e+04	1.407977e-09
1.188000e+04	1.416986e-09
1.210000e+04	1.425231e-09
1.232000e+04	1.428225e-09
1.254000e+04	1.440051e-09
1.276000e+04	1.440363e-09
1.298000e+04	1.449887e-09
1.320000e+04	1.452978e-09
1.342000e+04	1.453310e-09
1.364000e+04	1.460248e-09
1.386000e+04	1.453269e-09
1.408000e+04	1.457275e-09
1.430000e+04	1.452905e-09
1.452000e+04	1.448853e-09
1.474000e+04	1.451590e-09
1.496000e+04	1.445924e-09
1.518000e+04	1.449639e-09
1.540000e+04	1.451331e-09
1.562000e+04	1.451627e-09
1.584000e+04	1.457326e-09
1.606000e+04	1.457852e-09
1.628000e+04	1.458698e-09
1.650000e+04	1.460400e-09
1.672000e+04	1.457452e-09
1.694000e+04	1.456092e-09
1.716000e+04	1.455126e-09
1.738000e+04	1.452300e-09
1.760000e+04	1.452764e-09
