# Time	Real(Cfs)
0.000000e+00	0.000000e+00
2.200000e+02	1.043085e-15
4.400000e+02	1.039957e-15
6.600000e+02	1.037072e-15
8.800000e+02	1.034444e-15
1.100000e+03	1.032226e-15
1.320000e+03	1.030642e-15
1.540000e+03	1.029705e-15
1.760000e+03	1.029233e-15
1.980000e+03	1.028980e-15
2.200000e+03	1.028641e-15
2.420000e+03	1.028365e-15
2.640000e+03	1.030896e-15
2.860000e+03	1.031293e-15
3.080000e+03	1.019342e-15
3.300000e+03	9.709238e-16
3.520000e+03	8.964536e-16
3.740000e+03	9.326455e-16
3.960000e+03	1.498382e-15
4.180000e+03	2.676002e-15
4.400000e+03	3.581365e-15
4.620000e+03	5.635271e-15
4.840000e+03	7.775551e-15
5.060000e+03	1.092764e-14
5.280000e+03	1.270750e-14
5.500000e+03	4.143187e-17
5.720000e+03	-7.652315e-14
5.940000e+03	-3.397744e-13
6.160000e+03	-9.344717e-13
6.380000e+03	-1.794735e-12
6.600000e+03	-2.005400e-12
6.820000e+03	1.380257e-12
7.040000e+03	1.487697e-11
7.260000e+03	4.991730e-11
7.480000e+03	1.231745e-10
7.700000e+03	2.550605e-10
7.920000e+03	4.661431e-10
8.140000e+03	7.720260e-10
8.360000e+03	1.177923e-09
8.580000e+03	1.674560e-09
8.800000e+03	2.237120e-09
9.020000e+03	2.828465e-09
9.240000e+03	3.406490e-09
9.460000e+03	3.933497e-09
9.680000e+03	4.383986e-09
9.900000e+03	4.747793e-09
1.012000e+04	5.028076e-09
1.034000e+04	5.236313e-09
1.056000e+04	5.387203e-09
1.078000e+04	5.495120e-09
1.100000e+04	5.572371e-09
1.122000e+04	5.628744e-09
1.144000e+04	5.671624e-09
1.166000e+04	5.706096e-09
1.188000e+04	5.734925e-09
1.210000e+04	5.758763e-09
1.232000e+04	5.777008e-09
1.254000e+04	5.789247e-09
1.276000e+04	5.796674e-09
1.298000e+04	5.802582e-09
1.320000e+04	5.811344e-09
1.342000e+04	5.826216e-09
1.364000e+04	5.847187e-09
1.386000e+04	5.870362e-09
1.408000e+04	5.889630e-09
1.430000e+04	5.899892e-09
1.452000e+04	5.899958e-09
1.474000e+04	5.893181e-09
1.496000e+04	5.885316e-09
1.518000e+04	5.880998e-09
1.540000e+04	5.881265e-09
1.562000e+04	5.883831e-09
1.584000e+04	5.885705e-09
1.606000e+04	5.885942e-09
1.628000e+04	5.886240e-09
1.650000e+04	5.888958e-09
1.672000e+04	5.894385e-09
1.694000e+04	5.899821e-09
1.716000e+04	5.901450e-09
1.738000e+04	5.897518e-09
1.760000e+04	5.890030e-09
