curve,component,field_peak_v_per_angstrom,peak_ev,relative_height,reference
experiment,isotropic,,7.447,,Ren et al. table
experiment,isotropic,,9.672,,Ren et al. table
ren_rt_tddft,isotropic,,7.553,,Ren et al. table
ren_rt_tddft,isotropic,,9.740,,Ren et al. table
abacus_rt_tddft,y,0.002,7.762,1.000,this work
abacus_rt_tddft,z,0.002,9.832,0.627,this work
abacus_rt_tddft,y,0.001,7.762,1.000,this work
abacus_rt_tddft,z,0.001,9.832,0.625,this work
abacus_isotropic_a002,isotropic,0.002,7.762,0.090,this work
abacus_isotropic_a002,isotropic,0.002,9.832,0.285,this work
abacus_isotropic_a002,isotropic,0.002,12.823,0.120,this work
abacus_isotropic_a002,isotropic,0.002,13.732,0.057,this work
abacus_isotropic_a002,isotropic,0.002,14.022,1.000,this work
abacus_isotropic_a002,isotropic,0.002,17.152,0.454,this work
