wavenumber_cm-1,n,k,alpha_cm-1,nalpha_cm-1
0.96191406,4.8755841,2.818758,34.072495,166.12331
1.9261477,4.2932243,2.5245161,61.105119,262.33798
2.8903813,3.7131035,2.1330914,77.4773,287.68124
3.8546149,3.2823985,1.8296001,88.62312,290.89639
4.8188485,3.1053541,1.6276529,98.563231,306.07373
5.7830822,2.9335692,1.4817286,107.6807,315.88879
6.7473158,2.8219845,1.3949678,118.2783,333.77954
7.7115494,2.6759031,1.2933933,125.33781,335.39183
8.675783,2.5871346,1.1801243,128.66081,332.86284
9.6400166,2.5386846,1.0623533,128.6935,326.7122
10.60425,2.5326407,1.0154437,135.31492,342.70406
11.568484,2.4780753,0.96853417,140.79955,348.91187
12.532717,2.4609172,0.92162466,145.14738,357.19569
13.496951,2.425792,0.89107728,151.13356,366.61857
14.461185,2.4028313,0.85630041,155.61086,373.90664
15.425418,2.3769455,0.8263095,160.17309,380.72271
16.389652,2.360606,0.80219603,165.21904,390.01706
17.353886,2.3358533,0.7793355,169.95387,396.98731
18.318119,2.3203349,0.75750637,174.37211,404.6017
19.282353,2.2998128,0.73670119,178.50947,410.53836
20.246586,2.2879896,0.71742076,182.53057,417.62805
21.21082,2.2716961,0.70079547,186.79215,424.33499
22.175054,2.2608235,0.68509722,190.90915,431.61189
23.139287,2.2466033,0.67039877,194.93645,437.94486
24.103521,2.2374432,0.65699553,198.99986,445.25088
25.067755,2.2250049,0.64441079,202.99629,451.66774
26.031988,2.2170317,0.63302082,207.07859,459.0998
26.996222,2.2056005,0.62212837,211.05364,465.50002
27.960455,2.1986268,0.61173588,214.9404,472.57372
28.924689,2.1886392,0.60187387,218.76813,478.8045
29.888923,2.1843057,0.59263974,222.59269,486.21047
30.853156,2.1755638,0.58783799,227.91196,495.83701
31.81739,2.1670578,0.57987577,231.85121,502.43497
32.781623,2.1590121,0.57235146,235.77791,509.04736
33.745857,2.1525569,0.56519109,239.6766,515.91752
34.710091,2.1452901,0.55844265,243.58144,522.55286
35.674324,2.1396544,0.5521034,247.50618,529.57768
36.638558,2.1329505,0.54613262,251.44694,536.32389
37.602792,2.1277676,0.54042393,255.36685,543.3613
38.567025,2.1215897,0.53501564,259.29401,550.11549
39.531259,2.1168354,0.52984327,263.2073,557.16652
40.495492,2.1111677,0.52493578,267.13004,563.9563
41.459726,2.1068337,0.52027375,271.06173,571.08198
42.42396,2.1016538,0.51588827,275.02788,578.01339
43.388193,2.0976777,0.51183349,279.06806,585.39484
44.352427,2.0927117,0.50806969,283.17215,592.59767
45.31666,2.0887313,0.50440109,287.23925,599.9656
46.280894,2.0839276,0.5008536,291.28787,607.02285
47.245128,2.0801101,0.49734128,295.27141,614.19703
48.209361,2.0756586,0.49390334,299.21489,621.06795
49.173595,2.0722249,0.49060911,303.16386,628.22369
50.137829,2.068156,0.48748106,307.1377,635.20868
51.102062,2.0649877,0.48449129,311.12454,642.46833
52.066296,2.0612075,0.48166198,315.1439,649.57698
53.030529,2.0582402,0.47894719,319.17103,656.93063
53.994763,2.0547042,0.47636536,323.22257,664.12676
54.958997,2.0519269,0.47387731,327.27631,671.54706
55.92323,2.0486457,0.47150162,331.34872,678.81615
56.887464,2.0460963,0.46924329,335.44746,686.35781
57.851698,2.0430572,0.46711752,339.58784,693.79737
58.815931,2.0406852,0.46509385,343.75216,701.48994
59.780165,2.0378659,0.46318957,347.95713,709.08997
60.744398,2.035676,0.46140012,352.20361,716.97244
61.708632,2.0330536,0.45973748,356.50506,724.7939
62.672866,2.0310144,0.45818239,360.85092,732.89343
63.637099,2.0285614,0.45675686,365.26269,740.95778
64.601333,2.0266359,0.45543164,369.72136,749.29058
65.565566,2.0243182,0.45421517,374.23751,757.57581
66.5298,2.0224957,0.45308784,378.79871,766.11877
67.494034,2.0203185,0.45205066,383.40904,774.60839
68.458267,2.0186348,0.45112264,388.08816,783.40826
69.422501,2.0165982,0.45030892,392.84449,792.2095
70.386735,2.0150104,0.44959897,397.67289,801.315
71.350968,2.0130851,0.44900832,402.59105,810.45006
72.315202,2.011565,0.44851857,407.5866,819.88693
73.279435,2.0097125,0.44813222,412.66548,829.33897
74.243669,2.0082524,0.44784367,417.82626,839.10058
75.207903,2.0064704,0.44766307,423.08206,848.90165
76.172136,2.0050435,0.4475784,428.42531,859.01139
77.13637,2.0033083,0.44758943,433.85927,869.15387
78.100604,2.001915,0.44769621,439.38747,879.61636
79.064837,2.0002143,0.44792086,445.03537,890.16613
80.029071,1.9987992,0.44822773,450.77141,901.00153
80.993304,1.9970932,0.44861278,456.59444,911.86166
81.957538,1.9956775,0.4490816,462.51309,923.02695
82.921772,1.9939729,0.44964918,468.54601,934.26805
83.886005,1.9925126,0.45028788,474.66765,945.78126
84.850239,1.9907811,0.45099062,480.87305,957.31297
85.814472,1.9892943,0.45176759,487.17554,969.13552
86.778706,1.9875424,0.45260644,493.56433,980.98002
87.74294,1.9860328,0.45351848,500.05415,993.12396
88.707173,1.9842638,0.45449784,506.64112,1005.3096
89.671407,1.9827329,0.45555887,513.34384,1017.8237
90.635641,1.980931,0.45672521,520.19222,1030.4649
91.599874,1.9792914,0.45795554,527.14253,1043.3687
92.564108,1.9773855,0.45922461,534.16772,1056.2555
93.528341,1.9756682,0.46055111,541.29116,1069.4117
94.492575,1.9736947,0.46194673,548.52881,1082.6284
95.456809,1.971857,0.46338207,555.84793,1096.0526
96.421042,1.9697779,0.46483845,563.22734,1109.4328
97.385276,1.9678587,0.46633697,570.6936,1123.0444
98.349509,1.9657001,0.46786839,578.23685,1136.6403
99.313743,1.9636847,0.46943122,585.85641,1150.4373
100.27798,1.9614459,0.47101298,593.53769,1164.1921
101.24221,1.9593657,0.47263679,601.3108,1178.1878
102.20644,1.9570482,0.47430539,609.1808,1192.1962
103.17068,1.9548448,0.47600117,617.12646,1206.3865
104.13491,1.9524218,0.47770283,625.12091,1220.4997
105.09914,1.9501318,0.47943512,633.19706,1234.8177
106.06338,1.9476181,0.48120332,641.36305,1249.1303
107.02761,1.9451874,0.48298731,649.59313,1263.5804
107.99185,1.9425498,0.48476011,657.85124,1277.9088
108.95608,1.9400185,0.48654768,666.17255,1292.3871
109.92031,1.9372817,0.48834506,674.55073,1306.7948
110.88455,1.934623,0.49014404,682.9747,1321.2986
111.84878,1.9317727,0.49192381,691.41526,1335.6571
112.81301,1.9290271,0.49371022,699.90836,1350.1422
113.77725,1.9260818,0.49550217,708.45269,1364.5378
114.74148,1.9232061,0.49728894,717.03296,1379.0022
115.70571,1.9201398,0.49904409,725.61055,1393.2737
116.66995,1.9171708,0.50079322,734.22186,1407.6287
117.63418,1.9140079,0.50252259,742.84634,1421.8138
