variant,T_K,bound_bohr,spacing_bohr,cutoff_Ha,n_grid,n_states,window_start_au,window_stop_au,DVR_flux_au,relative_change_from_base,relative_error_analytic,window_relative_std
base,100.0,50.0,0.1,0.06,1001,472,6000.0,10000.0,7.607031267273005e-13,0.0,-0.0003508985540358056,0.00011565916038749706
base,150.0,50.0,0.1,0.06,1001,472,6000.0,10000.0,1.7620913263792612e-11,0.0,-1.4880926434091002e-05,4.829077197997667e-06
base,180.0,50.0,0.1,0.06,1001,472,6000.0,10000.0,9.804994957932164e-11,0.0,-2.6528261837244216e-06,8.546473612215545e-07
base,200.0,50.0,0.1,0.06,1001,472,6000.0,10000.0,2.7863053122254196e-10,0.0,-9.294262131032127e-07,2.982285396263862e-07
base,230.0,50.0,0.1,0.06,1001,472,6000.0,10000.0,1.1247137799451588e-09,0.0,-2.289933347388029e-07,7.311025635121402e-08
base,240.0,50.0,0.1,0.06,1001,472,6000.0,10000.0,1.711441315292368e-09,0.0,-1.502508267803293e-07,4.790094327918044e-08
base,260.0,50.0,0.1,0.06,1001,472,6000.0,10000.0,3.7189486012989753e-09,0.0,-6.894749671193523e-08,2.192364688844105e-08
base,300.0,50.0,0.1,0.06,1001,472,6000.0,10000.0,1.4030094391855448e-08,0.0,-1.8189608597118934e-08,5.7591801550637714e-09
smaller_box,100.0,35.0,0.1,0.06,701,331,6000.0,10000.0,7.607031452493644e-13,2.4348610239144364e-08,-0.0003508742139695098,0.00011565930457580376
smaller_box,150.0,35.0,0.1,0.06,701,331,6000.0,10000.0,1.762091330634125e-11,2.4146671329106084e-09,-1.4878511802929317e-05,4.829082008309976e-06
smaller_box,180.0,35.0,0.1,0.06,701,331,6000.0,10000.0,9.804994963882376e-11,6.068550106874682e-10,-2.6522193302680463e-06,8.546195429696328e-07
smaller_box,200.0,35.0,0.1,0.06,701,331,6000.0,10000.0,2.7863053127970324e-10,2.0515078524852015e-10,-9.292210625400088e-07,2.981433102782585e-07
smaller_box,230.0,35.0,0.1,0.06,701,331,6000.0,10000.0,1.1247137798019624e-09,-1.2731804499566124e-10,-2.2912065267277626e-07,7.284823627199505e-08
smaller_box,240.0,35.0,0.1,0.06,701,331,6000.0,10000.0,1.7114413149056694e-09,-2.2594914828033552e-10,-1.5047677592860964e-07,4.755439478718822e-08
smaller_box,260.0,35.0,0.1,0.06,701,331,6000.0,10000.0,3.7189485996751085e-09,-4.366467187821854e-10,-6.938414343071742e-08,2.1380685485235798e-08
smaller_box,300.0,35.0,0.1,0.06,701,331,6000.0,10000.0,1.4030094378619012e-08,-9.43431777145065e-10,-1.9133040263241696e-08,4.977283058259006e-09
finer_grid,100.0,50.0,0.08,0.06,1251,472,6000.0,10000.0,7.607031121767531e-13,-1.9127760819692696e-08,-0.000350917675084661,0.0001156682443925249
finer_grid,150.0,50.0,0.08,0.06,1251,472,6000.0,10000.0,1.7620913244442424e-11,-1.098137580868297e-09,-1.4882024555351592e-05,4.82943854343188e-06
finer_grid,180.0,50.0,0.08,0.06,1251,472,6000.0,10000.0,9.804994955581957e-11,-2.3969493057052205e-10,-2.6530658779888583e-06,8.547082087948419e-07
finer_grid,200.0,50.0,0.08,0.06,1251,472,6000.0,10000.0,2.78630531195674e-10,-9.64286428484229e-11,-9.295226416350388e-07,2.982486689581909e-07
finer_grid,230.0,50.0,0.08,0.06,1251,472,6000.0,10000.0,1.1247137799121394e-09,-2.9358071529372864e-11,-2.2902269269930997e-07,7.3114556045767e-08
finer_grid,240.0,50.0,0.08,0.06,1251,472,6000.0,10000.0,1.711441315256941e-09,-2.0700108294136044e-11,-1.5027152699964574e-07,4.7903569026167e-08
finer_grid,260.0,50.0,0.08,0.06,1251,472,6000.0,10000.0,3.718948601258077e-09,-1.0997314170424488e-11,-6.895849391508335e-08,2.192462860591138e-08
finer_grid,300.0,50.0,0.08,0.06,1251,472,6000.0,10000.0,1.4030094391800391e-08,-3.924194302840078e-12,-1.8193532791421774e-08,5.759265392943405e-09
higher_cutoff,100.0,50.0,0.1,0.09,1001,579,6000.0,10000.0,7.607031265529149e-13,-2.2924262488288605e-10,-0.0003508987831979393,0.00011565912401243747
higher_cutoff,150.0,50.0,0.1,0.09,1001,579,6000.0,10000.0,1.762091326313823e-11,-3.71366271068041e-11,-1.4880963570162997e-05,4.829071535169297e-06
higher_cutoff,180.0,50.0,0.1,0.09,1001,579,6000.0,10000.0,9.804994957818528e-11,-1.1589618154062009e-11,-2.6528377733425756e-06,8.54645605093292e-07
higher_cutoff,200.0,50.0,0.1,0.09,1001,579,6000.0,10000.0,2.786305312209846e-10,-5.589417817475351e-12,-9.294318025210302e-07,2.9822769154303857e-07
higher_cutoff,230.0,50.0,0.1,0.09,1001,579,6000.0,10000.0,1.1247137799427351e-09,-2.154942890797429e-12,-2.289954895706714e-07,7.310992571792688e-08
higher_cutoff,240.0,50.0,0.1,0.09,1001,579,6000.0,10000.0,1.7114413152895637e-09,-1.6385781620442685e-12,-1.5025246535849135e-07,4.790069026681546e-08
higher_cutoff,260.0,50.0,0.1,0.09,1001,579,6000.0,10000.0,3.718948601295205e-09,-1.013855666087693e-12,-6.894851045657902e-08,2.1923488021327685e-08
higher_cutoff,300.0,50.0,0.1,0.09,1001,579,6000.0,10000.0,1.4030094391848523e-08,-4.936051567483446e-13,-1.8190102202275682e-08,5.7591003463222626e-09
later_window,100.0,50.0,0.1,0.06,1001,472,8000.0,12000.0,7.608085963034595e-13,0.00013864748606029487,-0.0002122997191779108,5.377890726371533e-05
later_window,150.0,50.0,0.1,0.06,1001,472,8000.0,12000.0,1.7621015759798788e-11,5.816724969909259e-06,-9.06428802238679e-06,2.272399605183557e-06
later_window,180.0,50.0,0.1,0.06,1001,472,8000.0,12000.0,9.805005075536009e-11,1.0318826157984518e-06,-1.6209463054028816e-06,4.045050292910752e-07
later_window,200.0,50.0,0.1,0.06,1001,472,8000.0,12000.0,2.7863063168263453e-10,3.605494780511975e-07,-5.688770703393686e-07,1.416066784578235e-07
later_window,230.0,50.0,0.1,0.06,1001,472,8000.0,12000.0,1.1247138795201697e-09,8.853364530381214e-08,-1.404597095300275e-07,3.485456278552702e-08
later_window,240.0,50.0,0.1,0.06,1001,472,8000.0,12000.0,1.7114414146132904e-09,5.803349578670236e-08,-9.221733976438884e-08,2.286266209282053e-08
later_window,260.0,50.0,0.1,0.06,1001,472,8000.0,12000.0,3.718948700161267e-09,2.6583398149426785e-08,-4.236410022784298e-08,1.0485400811512228e-08
later_window,300.0,50.0,0.1,0.06,1001,472,8000.0,12000.0,1.4030094489943286e-08,6.991245804499613e-09,-1.1198362903641623e-08,2.761836830931632e-09
