T_K,time_au,time_fs,DVR_flux_au,analytic_flux_au
100.0,6000.0,145.133058,7.605085647927461e-13,7.609701500526184e-13
100.0,6100.0,147.5519423,7.605252484916132e-13,7.609701500526184e-13
100.0,6200.0,149.9708266,7.605410250622322e-13,7.609701500526184e-13
100.0,6300.0,152.3897109,7.605559599728155e-13,7.609701500526184e-13
100.0,6400.0,154.8085952,7.605701128391128e-13,7.609701500526184e-13
100.0,6500.0,157.22747950000002,7.605835380478716e-13,7.609701500526184e-13
100.0,6600.0,159.64636380000002,7.605962853041387e-13,7.609701500526184e-13
100.0,6700.0,162.06524810000002,7.606084001096018e-13,7.609701500526184e-13
100.0,6800.0,164.48413240000002,7.606199241820441e-13,7.609701500526184e-13
100.0,6900.0,166.90301670000002,7.606308958262293e-13,7.609701500526184e-13
100.0,7000.0,169.321901,7.606413502642067e-13,7.609701500526184e-13
100.0,7100.0,171.7407853,7.60651319930174e-13,7.609701500526184e-13
100.0,7200.0,174.1596696,7.606608347333264e-13,7.609701500526184e-13
100.0,7300.0,176.5785539,7.606699222917867e-13,7.609701500526184e-13
100.0,7400.0,178.9974382,7.606786081409823e-13,7.609701500526184e-13
100.0,7500.0,181.4163225,7.606869159199093e-13,7.609701500526184e-13
100.0,7600.0,183.8352068,7.606948675383124e-13,7.609701500526184e-13
100.0,7700.0,186.2540911,7.607024833271307e-13,7.609701500526184e-13
100.0,7800.0,188.6729754,7.607097821740075e-13,7.609701500526184e-13
100.0,7900.0,191.09185970000001,7.607167816453697e-13,7.609701500526184e-13
100.0,8000.0,193.51074400000002,7.607234980964814e-13,7.609701500526184e-13
100.0,8100.0,195.92962830000002,7.607299467708327e-13,7.609701500526184e-13
100.0,8200.0,198.34851260000002,7.607361418900935e-13,7.609701500526184e-13
100.0,8300.0,200.76739690000002,7.60742096735705e-13,7.609701500526184e-13
100.0,8400.0,203.18628120000002,7.607478237229742e-13,7.609701500526184e-13
100.0,8500.0,205.60516550000003,7.607533344684313e-13,7.609701500526184e-13
100.0,8600.0,208.0240498,7.607586398511142e-13,7.609701500526184e-13
100.0,8700.0,210.4429341,7.6076375006839e-13,7.609701500526184e-13
100.0,8800.0,212.8618184,7.607686746868845e-13,7.609701500526184e-13
100.0,8900.0,215.2807027,7.607734226890078e-13,7.609701500526184e-13
100.0,9000.0,217.699587,7.607780025155175e-13,7.609701500526184e-13
100.0,9100.0,220.1184713,7.607824221044964e-13,7.609701500526184e-13
100.0,9200.0,222.5373556,7.607866889270809e-13,7.609701500526184e-13
