T_K,T_over_Tc,E_star,instanton_action,gaussian_energy_width,exact_flux,classical_TST_flux,thermal_WKB_flux,instanton_flux,exact_over_TST,WKB_over_TST,instanton_over_TST,instanton_over_exact,WKB_over_exact
80.0,0.3215438556338864,0.0010339045109590559,21.302864467747114,0.0007237878982511933,1.9574773917105113e-13,2.9047816257240727e-22,1.6177086953112305e-13,1.61735328947583e-13,673881084.3388519,556912327.2418061,556789975.2438959,0.8262436625449507,0.8264252257328095
82.0,0.3295824520247335,0.0010862459268263579,21.200839085672083,0.0007510988819449802,2.2505526804670177e-13,7.7973159265772765e-22,1.859016428592948e-13,1.8586591528833823e-13,288631716.5623587,238417481.87430248,238371661.52882338,0.8258678719298796,0.8260266221394021
84.0,0.3376210484155807,0.0011398797233323592,21.098813703597052,0.0007787449906296221,2.5850695294553173e-13,1.99805964061336e-21,2.1344207488739177e-13,2.1340616708869229e-13,129378997.3487357,106824676.57565506,106806705.24088125,0.8255335675000497,0.8256724720760789
86.0,0.34565964480642786,0.0011948059004770588,20.996788321522022,0.0008067222101079633,2.9666508077920375e-13,4.903482883101239e-21,2.448548861505359e-13,2.448188050830806e-13,60500890.45922722,49934891.58377074,49927533.33080738,0.8252363387023958,0.8253579609282424
88.0,0.353698241197275,0.0012510244582604577,20.894762939446988,0.0008350266670727618,3.401658960149498e-13,1.1558670610374117e-20,2.8066370668005885e-13,2.8062746018090357e-13,29429499.938309923,24281659.728944786,24278523.858014893,0.8249723545730474,0.8250789099320058
90.0,0.3617368375881222,0.0013085353966825549,20.792737557371954,0.0008636546210526747,3.897290792882713e-13,2.6240929652902577e-20,3.2146090558880965e-13,3.2142450376278425e-13,14851953.968222402,12250362.690685086,12248975.475121198,0.8247383139840994,0.8248317168836004
92.0,0.36977543397896934,0.0013673387157433516,20.690712175296923,0.0008926024569884767,4.4616840846374797e-13,5.751471941842337e-20,3.679164078085685e-13,3.678798658053275e-13,7757464.74946428,6396908.678836672,6396273.32838012,0.8245314074835902,0.8246133093003657
94.0,0.3778140303698165,0.001427434415442846,20.588686793221893,0.0009218666783774795,5.104037434792583e-13,1.2197689315833753e-19,4.207876201484224e-13,4.20750963557146e-13,4184429.7740614363,3449732.2341388077,3449431.713357148,0.8243492900130824,0.8244211088266094
96.0,0.3858526267606637,0.0014888224957810407,20.48666141114686,0.0009514439009314383,5.834744915987778e-13,2.5082137450883876e-19,4.809306035104475e-13,4.808938785429659e-13,2326255.0599658587,1917422.7254443972,1917276.3066331875,0.8241900639482442,0.8242530058043327
98.0,0.3938912231515108,0.001551502956757933,20.384636029071828,0.0009813308466995131,6.665547262121051e-13,5.010223754313302e-19,5.493126443684661e-13,5.492759365536737e-13,1330389.1380864338,1096383.4577159607,1096310.1918967231,0.8240522720093775,0.8241073429785699
100.0,0.40192981954235796,0.0016154757983735245,20.282610646996794,0.0010115243386133556,7.609701500526184e-13,9.738840926430476e-19,6.270263966008982e-13,6.269898642079833e-13,781376.5065074665,643840.8855197502,643803.3734655018,0.8239348996338808,0.8239829072895193
102.0,0.40996841593320515,0.0016807410206278158,20.18058526492176,0.0010420212954161006,8.68217112629502e-13,1.845049965824253e-18,7.153057845719099e-13,7.152697168917625e-13,470565.63708920305,387689.1129354082,387669.56458668294,0.8238373863946086,0.8238789286305571
104.0,0.4180070123240523,0.001747298623520804,20.07855988284673,0.0010728187269412157,9.89983911736365e-13,3.4119263904904945e-18,8.155438800608418e-13,8.155087966695253e-13,290153.94778022927,239027.39588224242,239017.11330656483,0.8237596459917998,0.8237950843367069
106.0,0.42604560871489944,0.0018151486070524918,19.9765345007717,0.001103913729710778,1.128174630022825e-12,6.16699524731387e-18,9.293129893084157e-13,9.292798054268973e-13,182937.4897790328,150691.3743306665,150685.99344740203,0.8237020942476754,0.8237315080286941
108.0,0.43408420510574663,0.001884290971222879,19.874509118696665,0.0011353034828259026,1.2849357796890116e-12,1.0908827408450051e-17,1.0583872121092027e-12,1.0583575083879353e-12,117788.62489782281,97021.17124791698,97018.44834103108,0.823665684400263,0.8236888012919683
110.0,0.4421228014965938,0.001954725716031965,19.772483736621634,0.0011669852441248628,1.4626860512436752e-12,1.8906943585582998e-17,1.2047677625251253e-12,1.2047442166427762e-12,77362.3745489466,63720.91592021197,63719.67056385691,0.8236519488364715,0.8236680465372249
112.0,0.4501613978874409,0.0020264528414797494,19.670458354546604,0.001198956346586893,1.6641494857822472e-12,3.21421913431588e-17,1.3707113703729683e-12,1.370698434850801e-12,51774.61200499161,42645.2370885009,42644.834641697285,0.8236630462355927,0.8236708192886014
114.0,0.45819999427828806,0.002099472347566232,19.56843297247157,0.0012312141949618277,1.8923924141891545e-12,5.3651218468438487e-17,1.5587621140489229e-12,1.5587670623350731e-12,35272.123694681715,29053.620002421736,29053.71223306051,0.82370181292603,0.8236991980951349
116.0,0.46623859066913526,0.0021737842342914146,19.466407590396535,0.0012637562626076704,2.1508645308174936e-12,8.801212643965858e-17,1.7717870683411308e-12,1.771821582895871e-12,24438.274790373733,20131.169874140858,20131.562030950794,0.8237718171039079,0.8237557702751813
