variant,T_K,DVR_flux_au,relative_change_from_base,relative_error_exact,plateau_relative_std
base,100.0,7.607031263708062e-13,0.0,-0.00035089902250928784,0.00011565911437914969
base,150.0,1.76209132630765e-11,0.0,-1.4880967073360729e-05,4.8290720848959966e-06
base,200.0,2.7863053122223766e-10,0.0,-9.29427305229602e-07,2.982279233368357e-07
base,240.0,1.7114413152935947e-09,0.0,-1.502501100203446e-07,4.790079305642917e-08
base,248.79965391436042,2.432544197005485e-09,0.0,-1.0557210772255132e-07,3.361708886158959e-08
base,260.0,3.7189486013014196e-09,0.0,-6.894683945990465e-08,2.1923558857435196e-08
base,300.0,1.4030094391861009e-08,0.0,-1.8189212247499142e-08,5.759136013955649e-09
base,400.0,1.5098493058662673e-07,0.0,-1.6764786225920147e-09,5.270739868327212e-10
finer_grid,100.0,7.607031122913021e-13,-1.8508539700867743e-08,-0.00035091752455440606,0.00011566823063300457
finer_grid,150.0,1.7620913244520496e-11,-1.0530670779829165e-09,-1.4882020124784567e-05,4.829442774015387e-06
finer_grid,200.0,2.786305311964984e-10,-9.237777209847309e-11,-9.295196830017005e-07,2.9825068116312494e-07
finer_grid,240.0,1.7114413152600856e-09,-1.957944917307941e-11,-1.5026968946951769e-07,4.790445951785638e-08
finer_grid,248.79965391436042,2.432544196970025e-09,-1.4577339335630768e-11,-1.0558668506188695e-07,3.361966355248518e-08
finer_grid,260.0,3.7189486012633515e-09,-1.0236256287043943e-11,-6.89570757161917e-08,2.1925238914856013e-08
finer_grid,300.0,1.4030094391812529e-08,-3.4553471195408747e-12,-1.8192667594618683e-08,5.759576518013898e-09
finer_grid,400.0,1.509849305865469e-07,-5.287992266289621e-13,-1.6770074218186437e-09,5.271270777670133e-10
smaller_box,100.0,7.607031451324975e-13,2.4663618036768753e-08,-0.0003508743675457726,0.00011565926947870664
smaller_box,150.0,1.7620913305951332e-11,2.4331787695786034e-09,-1.4878533930784421e-05,4.8290804107417975e-06
smaller_box,200.0,2.78630531279669e-10,2.061200099490179e-10,-9.292211853306753e-07,2.981435588349137e-07
smaller_box,240.0,1.7114413149069939e-09,-2.2589197179456733e-10,-1.5047600199213917e-07,4.7554590646539944e-08
smaller_box,248.79965391436042,2.4325441962375823e-09,-3.156788164204727e-10,-1.058877865389718e-07,3.3187725301343413e-08
smaller_box,260.0,3.7189485996776426e-09,-4.3662262694255105e-10,-6.93834619758249e-08,2.1380839633932742e-08
smaller_box,300.0,1.403009437862524e-08,-9.433841485773087e-10,-1.913259639607645e-08,4.9773737176773134e-09
smaller_box,400.0,1.5098493019967416e-07,-2.562855594412383e-09,-4.239334217004398e-09,4.86096279331015e-09
higher_cutoff,100.0,7.607031265632146e-13,2.529350062729918e-10,-0.0003508987696630994,0.00011565915468516821
higher_cutoff,150.0,1.762091326376264e-11,3.8938852142678115e-11,-1.4880928135063698e-05,4.8290781432442e-06
higher_cutoff,200.0,2.786305312237774e-10,5.526024082769254e-12,-9.29421779094497e-07,2.982287855634547e-07
higher_cutoff,240.0,1.7114413152961393e-09,1.4868106745780096e-12,-1.5024862320967003e-07,4.790102778699583e-08
higher_cutoff,248.79965391436042,2.432544197008271e-09,1.1453060722033115e-12,-1.0557096241647912e-07,3.361727023879265e-08
higher_cutoff,260.0,3.7189486013045096e-09,8.308909116294672e-13,-6.894600856899302e-08,2.1923691022227302e-08
higher_cutoff,300.0,1.4030094391864936e-08,2.799982468104645e-13,-1.8188932360274634e-08,5.7591814979941354e-09
higher_cutoff,400.0,1.5098493058662438e-07,-1.5654144647214707e-14,-1.676494276736662e-09,5.27072265013776e-10
later_window,100.0,7.608085959046486e-13,0.0001386474304971852,-0.00021230024325991081,5.377889089277271e-05
later_window,150.0,1.7621015758981578e-11,5.816719232942802e-06,-9.06433439884502e-06,2.2723990396971615e-06
later_window,200.0,2.786306316822378e-10,3.6054914609451316e-07,-5.688784942003977e-07,1.4160710475134074e-07
later_window,240.0,1.7114414146145477e-09,5.803351377231536e-08,-9.221660501879114e-08,2.2862896473173702e-08
later_window,248.79965391436042,2.4325442961171138e-09,4.07440197136566e-08,-6.482809222774222e-08,1.6060531557733526e-08
later_window,260.0,3.718948700163825e-09,2.6583428791582264e-08,-4.236341244467923e-08,1.0485564189035955e-08
later_window,300.0,1.4030094489949062e-08,6.991261125577353e-09,-1.1197951232944092e-08,2.7619167954968074e-09
later_window,400.0,1.5098493068130474e-07,6.270692853860282e-10,-1.0494093372059865e-09,2.381260831839668e-10
