p0,method,T_lower,T_upper,R_lower,R_upper,center,edge,norm,T_lower_se,T_upper_se,R_lower_se,R_upper_se,max_energy_error,max_raw_hop_probability,electronic_norm_error,frustrated_attempts,ntraj
6.0,quantum,0.9776512299913362,2.472358979936994e-10,0.022346803606743793,3.4623862397538882e-12,1.966159744293306e-06,1.9075865767315022e-16,1.0000000000085225,,,,,,,,,
6.0,single,0.99825,0.0,0.00175,0.0,0.0,,,0.0006608588162383908,0.0,0.0006608588162383854,0.0,9.230459427182758e-09,0.0,0.0,0,4000
6.0,FSSH,0.99825,0.0,0.00175,0.0,0.0,,,0.0006608588162383908,0.0,0.0006608588162383854,0.0,9.230459427182758e-09,0.0010384885000822022,8.1601392309949e-14,578,4000
12.0,quantum,0.7813362501827564,0.2186620339705609,8.071752195789267e-07,9.0847976377389e-07,1.9595623358863328e-10,6.825971951713604e-26,1.000000000004257,,,,,,,,,
12.0,single,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3.726174035989516e-08,0.0,0.0,0,4000
12.0,FSSH,0.77575,0.22425,0.0,0.0,0.0,,,0.00659473156201221,0.00659473156201221,0.0,0.0,5.688416290783316e-08,0.003829214223703365,3.6637359812630166e-14,0,4000
20.0,quantum,0.5070083697172294,0.4929916204041265,8.598179951076947e-09,1.2819791970406754e-09,5.529259558203682e-27,2.973554334177922e-26,1.0000000000015148,,,,,,,,,
20.0,single,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9.857503791010913e-08,0.0,0.0,0,4000
20.0,FSSH,0.49125,0.50875,0.0,0.0,0.0,,,0.007904483498306516,0.007904483498306516,0.0,0.0,1.877621922941053e-07,0.010174660592229365,2.864375403532904e-14,0,4000
30.0,quantum,0.28462184077275504,0.715378158964248,2.580934861247612e-10,8.424756876961443e-12,2.5777747772996226e-27,1.7692288755650362e-26,1.0000000000035212,,,,,,,,,
30.0,single,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.1484752396605522e-07,0.0,0.0,0,4000
30.0,FSSH,0.2805,0.7195,0.0,0.0,0.0,,,0.007103163907724501,0.007103163907724501,0.0,0.0,4.0946146073750356e-07,0.019465324545139898,2.5202062658991053e-14,0,4000
