T_K,beads,dt_au,seed,proposals,launches,ESS,static_flux,kappa,kappa_40_80,RPMD_flux,max_energy_drift_per_bead_Ha
200.0,32,4.0,7100,131072,1024,8994.438440297738,2.1719307229916325e-10,0.98828125,0.98828125,2.1464784098315743e-10,9.284875405607407e-07
200.0,32,4.0,7101,131072,1024,11274.052815682337,2.1257565755092583e-10,0.98828125,0.98828125,2.1008453656400092e-10,8.51086175167326e-07
200.0,32,4.0,7102,131072,1024,12516.43542478171,2.0932104629183292e-10,0.994140625,0.994140625,2.0809455578621672e-10,9.183404913459814e-07
200.0,32,4.0,7103,131072,1024,8593.798410194526,2.1383401929624933e-10,0.9873046875,0.9873046875,2.111193295981524e-10,8.48869373720057e-07
200.0,64,4.0,7100,131072,1024,9817.154098356765,2.1510082192706026e-10,0.9912109375,0.991796875,2.1321028735934196e-10,1.2214833370258193e-06
200.0,64,4.0,7101,131072,1024,9367.397333571484,2.1689040267140394e-10,0.9921875,0.9921875,2.151959464005336e-10,1.2998950011389176e-06
200.0,64,4.0,7102,131072,1024,12134.07413678005,2.112812248420839e-10,0.9892578125,0.9892578125,2.090116023096006e-10,1.3722018171666295e-06
200.0,64,4.0,7103,131072,1024,12143.975988687913,2.1236946312639464e-10,0.990234375,0.990234375,2.1029554258805093e-10,1.2852034689397884e-06
260.0,32,4.0,7100,131072,1024,46431.088456037236,3.1609905901473657e-09,0.998046875,0.998046875,3.1548167804009843e-09,1.1815506592086078e-06
260.0,32,4.0,7101,131072,1024,49684.151527163296,3.135406958554325e-09,0.9951171875,0.9951171875,3.120097354264509e-09,1.3617553254741122e-06
260.0,32,4.0,7102,131072,1024,51728.585708405226,3.1233537528883707e-09,0.998046875,0.998046875,3.1172534525897607e-09,1.2292301339311695e-06
260.0,32,4.0,7103,131072,1024,47340.299210022255,3.142318068220492e-09,0.994140625,0.994140625,3.1239060482895127e-09,1.3502065479356617e-06
260.0,64,4.0,7100,131072,1024,47711.62060596063,3.1473291998299915e-09,0.998046875,0.998046875,3.1411820724865736e-09,1.74882375590657e-06
260.0,64,4.0,7101,131072,1024,47480.212355563955,3.1633767881626642e-09,0.99609375,0.99609375,3.151019847583904e-09,1.8495428455861385e-06
260.0,64,4.0,7102,131072,1024,50533.26987980171,3.128133307084156e-09,0.9990234375,0.998876953125,3.125078489401457e-09,1.8823564061215547e-06
260.0,64,4.0,7103,131072,1024,50952.26986932834,3.143730240925401e-09,0.9970703125,0.9970703125,3.1345200937351897e-09,1.7773768191536865e-06
300.0,32,4.0,7100,131072,1024,74870.91567606678,1.2306743462922693e-08,0.998046875,0.998046875,1.2282706854596672e-08,1.4790817860349526e-06
300.0,32,4.0,7101,131072,1024,77050.87313181763,1.224476803566567e-08,0.998046875,0.998046875,1.222085247309601e-08,1.918956207339062e-06
300.0,32,4.0,7102,131072,1024,78556.25702986242,1.2223718798505722e-08,0.9990234375,0.9990234375,1.2211781573116556e-08,1.6145016920182664e-06
300.0,32,4.0,7103,131072,1024,75963.17684706223,1.2264355466775618e-08,0.998046875,0.998046875,1.2240401647504572e-08,1.489154255213121e-06
300.0,64,4.0,7100,131072,1024,75749.44163759153,1.2272890985044692e-08,0.9970703125,0.9970703125,1.2236935249736944e-08,2.3907902568925943e-06
300.0,64,4.0,7101,131072,1024,75682.44040071458,1.2319888116650548e-08,0.9990234375,0.9990234375,1.2307856975911631e-08,2.210026730176118e-06
300.0,64,4.0,7102,131072,1024,77591.60200549681,1.2228309371880149e-08,0.998046875,0.998046875,1.2204425955138195e-08,2.078869584962173e-06
300.0,64,4.0,7103,131072,1024,77877.87880958719,1.2276930784799963e-08,0.9970703125,0.9970703125,1.2240963214141369e-08,2.0396102624609114e-06
200.0,64,2.0,7100,131072,1024,9817.154098356765,2.1510082192706026e-10,0.9912109375,0.991748046875,2.1321028735934196e-10,3.113295078405187e-07
200.0,64,2.0,7101,131072,1024,9367.397333571484,2.1689040267140394e-10,0.9921875,0.9921875,2.151959464005336e-10,2.811477473191326e-07
200.0,64,2.0,7102,131072,1024,12134.07413678005,2.112812248420839e-10,0.9892578125,0.9892578125,2.090116023096006e-10,3.6164955247164343e-07
200.0,64,2.0,7103,131072,1024,12143.975988687913,2.1236946312639464e-10,0.990234375,0.990234375,2.1029554258805093e-10,3.0409584547003154e-07
