sweep,chain_0,chain_1,chain_2,chain_3
0,-0.9832871255281266,-1.2160067956302232,-0.886662265207599,-1.128733834910797
100,-0.9765071057604873,-1.1330868831766094,-1.0734438095270082,-1.0323510341845787
200,-1.164391188104177,-1.1350532722394033,-0.9614330659375868,-1.1465969869225046
300,-1.1018189640048173,-1.257139469228918,-0.7659870161295823,-1.062563416902348
400,-1.1017451442439667,-0.9531556937815006,-1.0223124429634047,-0.8727923986174561
500,-1.2952015433277797,-1.0501125549527985,-0.8007981915814502,-1.1682839280771777
600,-0.9284061842891786,-0.940297667731853,-1.1680656798710571,-1.2178741380973788
700,-1.104300076946294,-1.0679977275916597,-1.1692571268185716,-1.0890821245937676
800,-1.1155419805406208,-1.1098400745104728,-1.243617933922246,-1.1744901347838772
900,-1.023631684279012,-1.0812141609923418,-1.0184279958594045,-1.2048586623749407
1000,-0.9078305352409177,-1.1358994861703937,-1.0289085934905926,-1.021732444483273
1100,-1.0435360311299844,-1.0750665381680777,-1.1389114813434087,-0.9795059592704222
1200,-1.1150620807403733,-0.8437073566927883,-1.0387678971844898,-1.2508643972410072
1300,-1.0904614438044573,-0.9951079709449518,-0.9920473249906266,-1.1932966522258603
1400,-1.0980720240387556,-1.1859173022951859,-1.1272515804609242,-1.0875091192691988
1500,-1.0554214144819394,-1.1843134142989826,-1.0672616663684118,-1.2003023359377962
1600,-1.0842622944593832,-0.6732153263418669,-0.7947525651786624,-0.9982365705999612
1700,-1.1479940727982816,-1.0686905267435474,-1.0325018392499623,-0.8813710811904631
1800,-0.9542487761697518,-1.098339062217815,-1.2055576105265844,-1.052658463535694
1900,-1.0415082438945253,-0.9349360127265222,-1.0927219860048123,-1.1559554481041696
2000,-1.1933587622068056,-1.1794264558007408,-0.8545978499515857,-1.1804668359675312
2100,-1.0176967018962182,-1.0987390948618936,-1.079157131289357,-0.9402327089685836
2200,-1.2173754763668483,-0.7140311561104457,-0.6213472052228821,-0.8789769863102109
2300,-1.4485615671474354,-1.0601973364970656,-1.2127246850791564,-0.9035749970394432
2400,-0.8089011608177199,-1.1186959259191,-0.966668000207982,-1.0357907081096323
2500,-0.85835750271373,-1.1234516818056364,-1.202483260464745,-1.171302480461772
2600,-1.0222601924280468,-1.139619642475806,-1.141462540261474,-1.0650756783373538
2700,-1.1381268578948582,-0.7529026047759129,-1.001749973221644,-1.1955961671352435
2800,-1.0026301209634172,-1.2792867875431402,-1.17333297825773,-0.9576879214883763
2900,-1.0596595921088428,-0.8277723285696916,-1.093333631330826,-1.049061794312736
3000,-1.095219900472344,-0.7612840795517779,-1.0630340859612784,-0.9010330720517652
3100,-1.021782953708864,-1.1280933292517996,-1.1899975361082222,-0.9075388244857472
3200,-1.0402327365592088,-1.0149758414955556,-0.9169849913985809,-1.1602647804220276
3300,-1.0187613304036272,-1.0835898657439598,-0.8029457400700939,-0.9776061982377275
3400,-1.1139851291738914,-1.0940773802561596,-1.035620253806777,-0.9946276746860744
3500,-1.0909934606721277,-1.1271180613292262,-0.9801662234817796,-1.0940348586674598
3600,-1.0108786356144883,-1.2651134369074402,-1.0538906845043514,-1.0966887516292165
3700,-1.363262843165575,-1.020844642675569,-1.0016813600868069,-0.9933094463234067
3800,-1.120415706485633,-1.0274789312678798,-1.0986688072841908,-1.1385682871649014
3900,-1.137073739249169,-0.958665226624983,-1.0732705813117078,-0.9314308970023827
4000,-0.9397095582711524,-0.8292574118058427,-0.9845776427087174,-1.082685812328756
4100,-1.254310983309081,-0.9453280879081922,-0.9953762176410077,-0.9024414120293849
4200,-0.9896907575845759,-0.9628869978848111,-1.2233282400160073,-1.0648841223518506
4300,-1.0984203261617769,-1.1504142848956151,-1.0780754654458384,-1.0429845602048753
4400,-1.038330510594998,-1.0010401458628104,-1.0530909509166353,-1.1548820323435929
4500,-1.0893142402483613,-1.1451498359416619,-0.9020727513991375,-1.0848281993959852
4600,-0.8727658990840526,-1.1066186618105078,-0.6912214313515985,-1.0285342265200914
4700,-1.0679249729561526,-1.0958517337819746,-0.9931286786252701,-0.9298805287878785
4800,-0.8622714016257103,-0.9144984853591646,-0.9323940112885096,-0.9887466352886964
4900,-0.7472852700897202,-1.1061306311198496,-0.7788170293975663,-0.8723857944969615
5000,-0.8677746106053299,-1.188647421865682,-1.0008585954196068,-0.8753457364035618
5100,-1.060546376084707,-1.0064956986722926,-0.9121756246414952,-0.969663831708239
5200,-0.9939608533551084,-1.0030492883194113,-1.2691674489626439,-1.0515010776111078
5300,-1.2042463881087513,-1.101999380268777,-1.1516715363913637,-0.9516871618258611
5400,-1.2921894522215316,-1.1245547566153256,-1.2314858025357736,-0.9553908091430896
5500,-1.0969350486701648,-0.9446827273110298,-1.0789311072264414,-1.1182297945548176
5600,-0.9807909729332902,-0.9940992184314363,-1.071621515970126,-1.1184834861798856
5700,-0.8023473974130946,-0.952765717978727,-0.8911764467510053,-1.2006197281381676
5800,-1.1047738457256608,-0.939160863686225,-0.950404504581493,-0.8439414331262682
5900,-1.0636687619391119,-1.0022589428496154,-1.0873089179286908,-0.930978608694179
