window,center,x,pooled_count
0,-1.5,-1.794,0
0,-1.5,-1.782,0
0,-1.5,-1.77,0
0,-1.5,-1.758,0
0,-1.5,-1.746,0
0,-1.5,-1.734,0
0,-1.5,-1.722,0
0,-1.5,-1.71,0
0,-1.5,-1.698,0
0,-1.5,-1.686,0
0,-1.5,-1.6740000000000002,0
0,-1.5,-1.6620000000000001,0
0,-1.5,-1.6500000000000001,0
0,-1.5,-1.6380000000000001,0
0,-1.5,-1.6260000000000001,0
0,-1.5,-1.614,0
0,-1.5,-1.602,0
0,-1.5,-1.59,0
0,-1.5,-1.578,0
0,-1.5,-1.566,1
0,-1.5,-1.554,0
0,-1.5,-1.542,0
0,-1.5,-1.53,3
0,-1.5,-1.518,7
0,-1.5,-1.506,6
0,-1.5,-1.494,16
0,-1.5,-1.482,24
0,-1.5,-1.47,28
0,-1.5,-1.458,55
0,-1.5,-1.446,90
0,-1.5,-1.434,154
0,-1.5,-1.422,214
0,-1.5,-1.41,405
0,-1.5,-1.398,524
0,-1.5,-1.3860000000000001,750
0,-1.5,-1.374,1015
0,-1.5,-1.362,1442
0,-1.5,-1.35,1816
0,-1.5,-1.338,2364
0,-1.5,-1.326,2866
0,-1.5,-1.314,3440
0,-1.5,-1.302,3949
0,-1.5,-1.29,4705
0,-1.5,-1.278,5131
0,-1.5,-1.266,5539
0,-1.5,-1.254,5854
0,-1.5,-1.242,5954
0,-1.5,-1.23,5915
0,-1.5,-1.218,5711
0,-1.5,-1.2060000000000002,5643
0,-1.5,-1.1940000000000002,5174
0,-1.5,-1.1820000000000002,4862
0,-1.5,-1.1700000000000002,4250
0,-1.5,-1.1580000000000001,3642
0,-1.5,-1.1460000000000001,3154
0,-1.5,-1.1340000000000001,2506
0,-1.5,-1.122,2069
0,-1.5,-1.11,1633
0,-1.5,-1.098,1370
0,-1.5,-1.086,995
0,-1.5,-1.074,812
0,-1.5,-1.062,576
0,-1.5,-1.05,462
0,-1.5,-1.038,320
0,-1.5,-1.026,191
0,-1.5,-1.014,116
0,-1.5,-1.002,86
0,-1.5,-0.99,62
0,-1.5,-0.978,47
0,-1.5,-0.966,19
0,-1.5,-0.9540000000000001,9
0,-1.5,-0.9420000000000001,12
0,-1.5,-0.93,6
0,-1.5,-0.918,2
0,-1.5,-0.906,3
0,-1.5,-0.894,0
0,-1.5,-0.882,1
0,-1.5,-0.87,0
0,-1.5,-0.858,0
0,-1.5,-0.8460000000000001,0
0,-1.5,-0.8340000000000001,0
0,-1.5,-0.8220000000000001,0
0,-1.5,-0.81,0
0,-1.5,-0.798,0
0,-1.5,-0.786,0
0,-1.5,-0.774,0
0,-1.5,-0.762,0
0,-1.5,-0.75,0
0,-1.5,-0.738,0
0,-1.5,-0.726,0
0,-1.5,-0.714,0
0,-1.5,-0.702,0
0,-1.5,-0.69,0
0,-1.5,-0.6779999999999999,0
0,-1.5,-0.6659999999999999,0
0,-1.5,-0.6539999999999999,0
0,-1.5,-0.642,0
0,-1.5,-0.6300000000000001,0
0,-1.5,-0.6180000000000001,0
0,-1.5,-0.6060000000000001,0
0,-1.5,-0.5940000000000001,0
0,-1.5,-0.5820000000000001,0
0,-1.5,-0.5700000000000001,0
0,-1.5,-0.558,0
0,-1.5,-0.546,0
0,-1.5,-0.534,0
0,-1.5,-0.522,0
0,-1.5,-0.51,0
0,-1.5,-0.498,0
0,-1.5,-0.486,0
0,-1.5,-0.474,0
0,-1.5,-0.46199999999999997,0
0,-1.5,-0.44999999999999996,0
0,-1.5,-0.43799999999999994,0
0,-1.5,-0.42599999999999993,0
0,-1.5,-0.4139999999999999,0
0,-1.5,-0.4019999999999999,0
0,-1.5,-0.39,0
0,-1.5,-0.3780000000000001,0
0,-1.5,-0.3660000000000001,0
