time,scaled_ground_population
-2.267573696145124700e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.076923076923076879e-03
2.267573696145124700e+02,1.076923076923076879e-03
4.535147392290249400e+02,1.076923076923076879e-03
6.802721088435373531e+02,1.076923076923076879e-03
9.070294784580498799e+02,1.076923076923076879e-03
1.133786848072562407e+03,8.615384615384615464e-04
1.360544217687074706e+03,6.461538461538462140e-04
1.587301587301587233e+03,4.307692307692307732e-04
1.814058956916099760e+03,2.153846153846153866e-04
2.040816326530612059e+03,0.000000000000000000e+00
2.267573696145124813e+03,0.000000000000000000e+00
2.494331065759637113e+03,2.153846153846153866e-04
2.721088435374149412e+03,4.307692307692307732e-04
2.947845804988662167e+03,6.461538461538462140e-04
3.174603174603174466e+03,1.076923076923076879e-03
3.401360544217687220e+03,1.938461538461538425e-03
3.628117913832199520e+03,3.015384615384615521e-03
3.854875283446711819e+03,4.953846153846154163e-03
4.081632653061224119e+03,7.753846153846153701e-03
4.308390022675736873e+03,1.098461538461538434e-02
4.535147392290249627e+03,1.486153846153846075e-02
4.761904761904761472e+03,1.959999999999999937e-02
4.988662131519274226e+03,2.563076923076923475e-02
5.215419501133786980e+03,3.273846153846153573e-02
5.442176870748298825e+03,4.135384615384615770e-02
5.668934240362812488e+03,5.104615384615385221e-02
5.895691609977324333e+03,6.181538461538461926e-02
6.122448979591836178e+03,7.301538461538462088e-02
6.349206349206348932e+03,8.529230769230769504e-02
6.575963718820860777e+03,9.843076923076923834e-02
6.802721088435374440e+03,1.124307692307692369e-01
7.029478458049887195e+03,1.270769230769230596e-01
7.256235827664399039e+03,1.421538461538461307e-01
7.482993197278911794e+03,1.572307692307692295e-01
7.709750566893423638e+03,1.723076923076923006e-01
7.936507936507936392e+03,1.873846153846153717e-01
8.163265306122448237e+03,2.026769230769230601e-01
8.390022675736961901e+03,2.179692307692307485e-01
8.616780045351473746e+03,2.332615384615384369e-01
8.843537414965985590e+03,2.481230769230768907e-01
9.070294784580499254e+03,2.629846153846153722e-01
9.297052154195011099e+03,2.772000000000000020e-01
9.523809523809522943e+03,2.914153846153846317e-01
9.750566893424036607e+03,3.049846153846154095e-01
9.977324263038548452e+03,3.185538461538461874e-01
1.020408163265306212e+04,3.314769230769230579e-01
1.043083900226757396e+04,3.441846153846154222e-01
1.065759637188208580e+04,3.562461538461538790e-01
1.088435374149659765e+04,3.683076923076923359e-01
1.111111111111111131e+04,3.799384615384615582e-01
1.133786848072562498e+04,3.909230769230769287e-01
1.156462585034013682e+04,4.016923076923076819e-01
1.179138321995464867e+04,4.118153846153845832e-01
1.201814058956916051e+04,4.217230769230769227e-01
1.224489795918367236e+04,4.312000000000000277e-01
1.247165532879818602e+04,4.406769230769230772e-01
1.269841269841269786e+04,4.495076923076922748e-01
1.292517006802721153e+04,4.583384615384615279e-01
1.315192743764172155e+04,4.665230769230769292e-01
1.337868480725623522e+04,4.744923076923076577e-01
1.360544217687074888e+04,4.822461538461537689e-01
1.383219954648526073e+04,4.897846153846153738e-01
1.405895691609977439e+04,4.968923076923076887e-01
1.428571428571428442e+04,5.037846153846153863e-01
