temperature_K,model_A_kH_s-1,model_A_kD_s-1,model_B_kH_s-1,model_B_kD_s-1,model_A_KIE,model_B_KIE
240,2.9958455,0.4012706,1.3577296,0.99053953,7.4658983,1.3706971
240.5,3.1071056,0.41791103,1.4223494,1.0301834,7.4348494,1.3806759
241,3.2220101,0.43516815,1.4897392,1.0710803,7.4040576,1.3908753
241.5,3.3406615,0.45306197,1.5600036,1.1132554,7.37352,1.4012989
242,3.4631648,0.47161303,1.6332504,1.1567337,7.3432338,1.4119502
242.5,3.5896271,0.49084245,1.7095908,1.2015402,7.3131962,1.4228328
243,3.7201583,0.51077192,1.7891395,1.2476997,7.2834042,1.4339504
243.5,3.8548706,0.5314237,1.8720147,1.2952372,7.2538552,1.4453065
244,3.9938787,0.55282068,1.9583385,1.3441772,7.2245465,1.456905
244.5,4.1373,0.57498634,2.0482364,1.3945446,7.1954753,1.4687493
245,4.2852545,0.59794478,2.141838,1.4463637,7.1666391,1.4808433
245.5,4.4378647,0.62172077,2.2392766,1.4996588,7.1380352,1.4931907
246,4.5952562,0.64633971,2.3406896,1.5544542,7.109661,1.5057951
246.5,4.7575569,0.67182765,2.4462184,1.6107739,7.081514,1.5186604
247,4.9248979,0.69821136,2.5560088,1.6686416,7.0535918,1.5317902
247.5,5.0974128,0.72551826,2.6702105,1.728081,7.0258918,1.5451883
248,5.2752384,0.75377653,2.7889778,1.7891154,6.9984116,1.5588585
248.5,5.4585142,0.78301501,2.9124694,1.851768,6.9711488,1.5728047
249,5.6473828,0.81326334,3.0408484,1.9160618,6.9441011,1.5870304
249.5,5.84199,0.84455186,3.1742827,1.9820195,6.9172661,1.6015396
250,6.0424843,0.87691172,3.3129447,2.0496633,6.8906415,1.6163361
250.5,6.2490177,0.91037481,3.4570117,2.1190155,6.8642251,1.6314235
251,6.4617451,0.94497386,3.606666,2.1900979,6.8380146,1.6468058
251.5,6.6808248,0.98074239,3.7620947,2.2629322,6.8120078,1.6624867
252,6.9064184,1.0177147,3.9234899,2.3375395,6.7862025,1.67847
252.5,7.1386907,1.0559261,4.0910491,2.4139408,6.7605966,1.6947595
253,7.37781,1.0954126,4.2649749,2.4921569,6.735188,1.7113589
253.5,7.623948,1.1362112,4.4454753,2.5722081,6.7099745,1.728272
254,7.8772797,1.1783596,4.6327636,2.6541143,6.6849541,1.7455026
254.5,8.137984,1.2218966,4.8270587,2.7378954,6.6601248,1.7630544
255,8.406243,1.266862,5.0285851,2.8235707,6.6354845,1.7809312
255.5,8.6822427,1.3132963,5.2375731,2.9111593,6.6110313,1.7991365
256,8.9661726,1.3612411,5.4542585,3.0006799,6.5867632,1.8176742
256.5,9.2582262,1.410739,5.6788832,3.092151,6.5626783,1.8365478
257,9.5586006,1.4618336,5.9116949,3.1855905,6.5387746,1.8557611
257.5,9.8674967,1.5145695,6.1529475,3.2810162,6.5150504,1.8753176
258,10.18512,1.5689923,6.4029008,3.3784456,6.4915036,1.8952209
258.5,10.511678,1.6251488,6.661821,3.4778957,6.4681326,1.9154746
259,10.847384,1.6830866,6.9299803,3.5793833,6.4449354,1.9360822
259.5,11.192456,1.7428547,7.2076575,3.6829249,6.4219104,1.9570471
260,11.547115,1.8045029,7.4951377,3.7885364,6.3990557,1.9783729
260.5,11.911585,1.8680825,7.7927126,3.8962339,6.3763696,2.0000629
261,12.286096,1.9336458,8.1006803,4.0060326,6.3538504,2.0221204
261.5,12.670882,2.001246,8.4193456,4.1179479,6.3314964,2.0445488
262,13.066181,2.0709379,8.7490201,4.2319946,6.3093059,2.0673514
262.5,13.472235,2.1427774,9.090022,4.3481873,6.2872773,2.0905314
263,13.889293,2.2168214,9.4426765,4.4665404,6.2654089,2.1140918
263.5,14.317604,2.2931284,9.8073155,4.5870677,6.2436991,2.1380359
264,14.757425,2.371758,10.184278,4.7097831,6.2221464,2.1623667
264.5,15.209017,2.452771,10.57391,4.8347001,6.2007491,2.187087
265,15.672646,2.5362298,10.976564,4.9618318,6.1795057,2.2121999
265.5,16.148582,2.6221978,11.392601,5.0911913,6.1584147,2.2377082
266,16.637099,2.7107401,11.822387,5.2227912,6.1374746,2.2636147
266.5,17.138477,2.801923,12.266297,5.356644,6.1166839,2.2899219
267,17.653003,2.8958143,12.724712,5.492762,6.096041,2.3166327
267.5,18.180964,2.992483,13.198021,5.6311572,6.0755446,2.3437494
268,18.722657,3.0919999,13.686621,5.7718415,6.0551932,2.3712745
268.5,19.278381,3.1944371,14.190914,5.9148265,6.0349854,2.3992105
269,19.848442,3.2998681,14.71131,6.0601235,6.0149198,2.4275595
269.5,20.43315,3.4083681,15.248229,6.2077439,5.994995,2.4563238
270,21.032821,3.5200138,15.802094,6.3576987,5.9752096,2.4855053
270.5,21.647775,3.6348835,16.373339,6.5099988,5.9555623,2.5151062
271,22.278341,3.7530571,16.962402,6.664655,5.9360518,2.5451283
271.5,22.92485,3.8746159,17.569732,6.8216779,5.9166766,2.5755734
272,23.587639,3.9996432,18.195782,6.9810778,5.8974356,2.6064431
272.5,24.267051,4.1282238,18.841014,7.1428652,5.8783274,2.6377389
273,24.963437,4.2604442,19.505896,7.3070503,5.8593508,2.6694624
273.5,25.677151,4.3963925,20.190905,7.4736431,5.8405046,2.7016149
274,26.408552,4.5361589,20.896524,7.6426536,5.8217873,2.7341974
274.5,27.158009,4.679835,21.623242,7.8140917,5.8031979,2.7672112
275,27.925892,4.8275144,22.371557,7.9879672,5.7847352,2.8006571
275.5,28.712582,4.9792925,23.141974,8.1642899,5.7663979,2.8345361
276,29.518461,5.1352665,23.935003,8.3430693,5.7481848,2.8688486
276.5,30.343921,5.2955356,24.751162,8.5243151,5.7300948,2.9035954
277,31.189359,5.4602007,25.590977,8.7080367,5.7121268,2.9387768
277.5,32.055178,5.629365,26.454978,8.8942437,5.6942795,2.9743931
278,32.941787,5.8031332,27.343703,9.0829455,5.6765519,3.0104445
278.5,33.849602,5.9816123,28.257697,9.2741514,5.6589429,3.0469308
279,34.779047,6.1649113,29.197512,9.4678709,5.6414513,3.0838519
279.5,35.730549,6.3531411,30.163703,9.6641132,5.624076,3.1212075
280,36.704544,6.5464148,31.156834,9.8628876,5.6068161,3.1589972
280.5,37.701475,6.7448477,32.177475,10.064204,5.5896703,3.1972202
281,38.72179,6.9485569,33.226201,10.26807,5.5726377,3.2358758
281.5,39.765946,7.1576619,34.303591,10.474497,5.5557173,3.2749631
282,40.834405,7.3722845,35.410234,10.683493,5.538908,3.3144808
282.5,41.927637,7.5925484,36.54672,10.895068,5.5222087,3.3544278
283,43.046118,7.8185798,37.713647,11.109231,5.5056186,3.3948026
283.5,44.190333,8.0505072,38.911616,11.325992,5.4891365,3.4356035
284,45.360771,8.2884611,40.141235,11.545359,5.4727616,3.4768287
284.5,46.557932,8.5325748,41.403115,11.767342,5.4564928,3.5184764
285,47.782321,8.7829835,42.697872,11.991951,5.4403292,3.5605443
285.5,49.034451,9.0398252,44.026127,12.219195,5.4242698,3.6030301
286,50.314841,9.3032401,45.388503,12.449083,5.4083137,3.6459313
286.5,51.624021,9.573371,46.78563,12.681626,5.3924601,3.6892453
287,52.962524,9.8503629,48.218138,12.916832,5.3767079,3.7329692
287.5,54.330894,10.134364,49.686663,13.154712,5.3610562,3.7771
288,55.729683,10.425524,51.191844,13.395275,5.3455043,3.8216344
288.5,57.159447,10.723996,52.734321,13.638531,5.3300511,3.8665691
289,58.620754,11.029936,54.314738,13.884489,5.3146959,3.9119004
289.5,60.114178,11.343501,55.933741,14.13316,5.2994376,3.9576246
290,61.6403,11.664853,57.591979,14.384553,5.2842756,4.0037378
290.5,63.199713,11.994156,59.290101,14.638679,5.269209,4.0502358
291,64.793013,12.331575,61.028759,14.895547,5.2542368,4.0971144
291.5,66.420807,12.677279,62.808605,15.155167,5.2393583,4.1443689
292,68.083712,13.031441,64.630293,15.417551,5.2245727,4.1919948
292.5,69.782348,13.394235,66.494478,15.682707,5.2098792,4.2399872
293,71.51735,13.76584,68.401813,15.950647,5.1952769,4.288341
293.5,73.289355,14.146435,70.352954,16.22138,5.1807651,4.337051
294,75.099014,14.536204,72.348555,16.494918,5.166343,4.3861118
294.5,76.946984,14.935334,74.389269,16.771271,5.1520098,4.4355178
295,78.833931,15.344013,76.47575,17.050448,5.1377647,4.4852633
295.5,80.760528,15.762436,78.608649,17.332462,5.1236071,4.5353424
296,82.727461,16.190797,80.788615,17.617322,5.109536,4.5857488
296.5,84.735422,16.629295,83.016298,17.90504,5.0955509,4.6364765
297,86.785112,17.078133,85.292342,18.195627,5.081651,4.6875188
297.5,88.877242,17.537515,87.617391,18.489092,5.0678355,4.7388693
298,91.012531,18.00765,89.992085,18.785448,5.0541038,4.790521
298.5,93.191709,18.488749,92.417062,19.084706,5.040455,4.8424671
299,95.415513,18.981028,94.892954,19.386876,5.0268886,4.8947005
299.5,97.684691,19.484704,97.420392,19.691971,5.0134038,4.947214
300,100,20,100,20,5,5
300.5,102.36221,20.52714,102.6324,20.310976,4.9866764,5.0530511
301,104.77209,21.066353,105.31821,20.62491,4.9734324,5.1063595
301.5,107.23042,21.617872,108.05803,20.941814,4.9602674,5.1599175
302,109.73802,22.18193,110.85248,21.261699,4.9471806,5.2137169
302.5,112.29567,22.758769,113.70215,21.584576,4.9341714,5.2677497
303,114.90419,23.348629,116.60763,21.910459,4.9212392,5.3220077
303.5,117.56441,23.951758,119.56951,22.239357,4.9083834,5.3764824
304,120.27717,24.568406,122.58837,22.571284,4.8956032,5.4311653
304.5,123.0433,25.198826,125.66479,22.90625,4.8828981,5.4860479
305,125.86366,25.843275,128.79932,23.244269,4.8702675,5.5411213
305.5,128.73912,26.502015,131.99252,23.585352,4.8577108,5.5963768
306,131.67056,27.175311,135.24494,23.929511,4.8452273,5.6518053
306.5,134.65885,27.863431,138.55712,24.276758,4.8328165,5.7073979
307,137.70489,28.566649,141.92959,24.627106,4.8204777,5.7631453
307.5,140.8096,29.28524,145.36287,24.980566,4.8082104,5.8190384
308,143.97388,30.019486,148.85748,25.337151,4.796014,5.8750678
308.5,147.19866,30.769672,152.41392,25.696874,4.7838879,5.9312241
309,150.48489,31.536085,156.03268,26.059747,4.7718315,5.9874979
309.5,153.8335,32.319019,159.71424,26.425781,4.7598444,6.0438796
