beta_blue,Cv_blue_over_kB,beta_red,Cv_red_over_kB
2.229845626072040954e+00,1.191137370753323488e+00,2.367066895368782120e+00,1.192909896602658781e+00
2.264150943396226356e+00,1.185819793205317385e+00,2.401372212692967523e+00,1.187592319054652901e+00
2.298456260720411759e+00,1.178729689807976211e+00,2.435677530017152481e+00,1.180502215657311504e+00
2.332761578044596718e+00,1.171639586410635037e+00,2.469982847341337884e+00,1.176070901033973382e+00
2.367066895368782120e+00,1.158345642540620446e+00,2.504288164665523286e+00,1.162776957163958569e+00
2.401372212692967523e+00,1.146824224519940927e+00,2.538593481989708245e+00,1.152141802067946807e+00
2.435677530017152481e+00,1.132644017725258356e+00,2.572898799313893647e+00,1.139734121122599753e+00
2.469982847341337884e+00,1.122008862629246595e+00,2.607204116638079050e+00,1.129985228951255527e+00
2.504288164665523286e+00,1.108714918759231782e+00,2.641509433962264008e+00,1.116691285081240714e+00
2.538593481989708245e+00,1.098079763663220021e+00,2.675814751286449411e+00,1.107828655834564247e+00
2.572898799313893647e+00,1.084785819793205208e+00,2.710120068610634814e+00,1.094534711964549434e+00
2.607204116638079050e+00,1.074150664697193447e+00,2.744425385934819772e+00,1.084785819793205208e+00
2.641509433962264008e+00,1.061742983751846392e+00,2.778730703259005175e+00,1.070605612998522860e+00
2.675814751286449411e+00,1.051994091580502166e+00,2.813036020583190577e+00,1.062629246676513928e+00
2.710120068610634814e+00,1.039586410635155111e+00,2.847341337907375536e+00,1.049335302806499115e+00
2.744425385934819772e+00,1.030723781388478644e+00,2.881646655231560938e+00,1.039586410635155111e+00
2.778730703259005175e+00,1.017429837518463831e+00,2.915951972555746341e+00,1.026292466765140299e+00
2.813036020583190577e+00,1.008567208271787141e+00,2.950257289879931299e+00,1.017429837518463831e+00
2.847341337907375536e+00,9.961595273264400863e-01,2.984562607204116702e+00,1.005908419497784312e+00
2.881646655231560938e+00,9.881831610044312653e-01,3.018867924528302105e+00,9.970457902511078441e-01
