beta,Cv_no_GP_over_kB,Cv_GP_over_kB,phase_delta,interference_no_GP,interference_GP,path_ratio,splitting_no_GP,splitting_GP
4.000000000000000222e-01,4.973717278780386830e-01,4.958059482719129885e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.392785571142284740e-01,4.987466658612074166e-01,4.977750995919095200e-01,1.259155372180277739e-02,9.999603637174070414e-01,3.963628259290308264e-05,3.006012024048096160e-03,1.003006012024048044e+00,9.969939879759519563e-01
4.785571142284569257e-01,4.994117201596953159e-01,4.988317217940769210e-01,2.518310744360555478e-02,9.998414611537680408e-01,1.585388462319592406e-04,6.012024048096192320e-03,1.006012024048096087e+00,9.939879759519038016e-01
5.178356713426853775e-01,4.997276851075137527e-01,4.993922696847740705e-01,3.777466116540833391e-02,9.996433111605051991e-01,3.566888394948009022e-04,9.018036072144288914e-03,1.009018036072144353e+00,9.909819639278557579e-01
5.571142284569138292e-01,4.998754837397015316e-01,4.996865988622823385e-01,5.036621488721110956e-02,9.993659451533352112e-01,6.340548466648443515e-04,1.202404809619238464e-02,1.012024048096192397e+00,9.879759519038076032e-01
5.963927855711422810e-01,4.999436842450320495e-01,4.998396871419451548e-01,6.295776860901389216e-02,9.990094071072876947e-01,9.905928927123608396e-04,1.503006012024048037e-02,1.015030060120240440e+00,9.849699398797595595e-01
6.356713426853708437e-01,4.999747782414582509e-01,4.999186154998818687e-01,7.554932233081666781e-02,9.985737535497336559e-01,1.426246450266288601e-03,1.803607214428857783e-02,1.018036072144288484e+00,9.819639278557114048e-01
6.749498997995992955e-01,4.999888036595179774e-01,4.999589764331376363e-01,8.814087605261944347e-02,9.980590535514233252e-01,1.940946448576674754e-03,2.104208416833667356e-02,1.021042084168336750e+00,9.789579158316633611e-01
7.142284569138277472e-01,4.999950704372149168e-01,4.999794570899435686e-01,1.007324297744222191e-01,9.974653887155349175e-01,2.534611284465027037e-03,2.404809619238476928e-02,1.024048096192384794e+00,9.759519038076152064e-01
7.535070140280561990e-01,4.999978494229939119e-01,4.999897727009165460e-01,1.133239834962249948e-01,9.967928531647373136e-01,3.207146835262686402e-03,2.705410821643286501e-02,1.027054108216432837e+00,9.729458917835671627e-01
7.927855711422846507e-01,4.999990811371211041e-01,4.999949252126453803e-01,1.259155372180277843e-01,9.960415535262669984e-01,3.958446473733001625e-03,3.006012024048096073e-02,1.030060120240480881e+00,9.699398797595190080e-01
8.320641282565131025e-01,4.999996470548453975e-01,4.999974601651914208e-01,1.385070909398305461e-01,9.952116089150231382e-01,4.788391084976861833e-03,3.306613226452905646e-02,1.033066132264529147e+00,9.669338677354709644e-01
8.713426853707415543e-01,4.999999621858057242e-01,4.999986459085666857e-01,1.510986446616333356e-01,9.943031509146823543e-01,5.696849085317645667e-03,3.607214428857715566e-02,1.036072144288577190e+00,9.639278557114228096e-01
9.106212424849700060e-01,5.000002546528562464e-01,4.999990775369062002e-01,1.636901983834360974e-01,9.933163235568367444e-01,6.683676443163255598e-03,3.907815631262524791e-02,1.039078156312625234e+00,9.609218436873747660e-01
9.498997995991984578e-01,5.000007057211970363e-01,4.999989747474639645e-01,1.762817521052388869e-01,9.922512832981583708e-01,7.748716701841629195e-03,4.208416833667334711e-02,1.042084168336673278e+00,9.579158316633266113e-01
