beta,E_no_GP,Cv_no_GP_over_kB,E_GP,Cv_GP_over_kB
4.000000000000000222e-01,1.249999999999911626e+00,4.999999999988219979e-01,1.249999999999473088e+00,4.999999999935104134e-01
4.392785571142284740e-01,1.138229927007296194e+00,4.999999999999460987e-01,1.138229927007273767e+00,4.999999999996196376e-01
4.785571142284569257e-01,1.044807370184254403e+00,5.000000000000015543e-01,1.044807370184253514e+00,4.999999999999741873e-01
5.178356713426853775e-01,9.655572755417914932e-01,5.000000000000766054e-01,9.655572755417997088e-01,4.999999999999219513e-01
5.571142284569138292e-01,8.974820143884371104e-01,5.000000000009705570e-01,8.974820143885412493e-01,4.999999999990293875e-01
5.963927855711422810e-01,8.383736559135096522e-01,5.000000000086979313e-01,8.383736559144473466e-01,4.999999999913017912e-01
6.356713426853708437e-01,7.865699873864682168e-01,5.000000000589337468e-01,7.865699873928503338e-01,4.999999999410661977e-01
6.749498997995992955e-01,7.407957244483124315e-01,5.000000003171375385e-01,7.407957244828038412e-01,4.999999996828625726e-01
7.142284569138277472e-01,7.000561166458628692e-01,5.000000014084718947e-01,7.000561167997038092e-01,4.999999985915278833e-01
7.535070140280561990e-01,6.635638294953490890e-01,5.000000053217001916e-01,6.635638300791186772e-01,4.999999946782995308e-01
7.927855711422846507e-01,6.306875622296588269e-01,5.000000175271116509e-01,6.306875641606340954e-01,4.999999824728882380e-01
8.320641282565131025e-01,6.009152187407411638e-01,5.000000513191336093e-01,6.009152244191815484e-01,4.999999486808661131e-01
8.713426853707415543e-01,5.738270393747002540e-01,5.000001357553890413e-01,5.738270544615463598e-01,4.999998642446109587e-01
9.106212424849700060e-01,5.490756858752254832e-01,5.000003287969514432e-01,5.490757225754786530e-01,4.999996712030475576e-01
9.498997995991984578e-01,5.263712666900774995e-01,5.000007372456970467e-01,5.263713493436779078e-01,4.999992627542970691e-01
9.891783567134269095e-01,5.054699292320984361e-01,5.000015447564432058e-01,5.054701031828130464e-01,4.999984552435283724e-01
1.028456913827655361e+00,4.861650653155934476e-01,5.000030485777570144e-01,4.861654101325780797e-01,4.999969514221236921e-01
1.067735470941883813e+00,4.682804567120308348e-01,5.000057048212023236e-01,4.682811048495428285e-01,4.999942951783447054e-01
1.107014028056112265e+00,4.516648788704752948e-01,5.000101811000896568e-01,4.516660407530279087e-01,4.999898188983488145e-01
1.146292585170340717e+00,4.361878130323191827e-01,5.000174144593317882e-01,4.361898093454357750e-01,4.999825855357353799e-01
1.185571142284569168e+00,4.217360097487873882e-01,5.000286717680791915e-01,4.217393114145487343e-01,4.999713282175189399e-01
1.224849699398797620e+00,4.082107128116732597e-01,5.000456092600835678e-01,4.082159887600652071e-01,4.999543907007471533e-01
1.264128256513026072e+00,3.955254001454302504e-01,5.000703277295124316e-01,3.955335725903105781e-01,4.999296721705928648e-01
1.303406813627254524e+00,3.836039328406319338e-01,5.001054200215347967e-01,3.836162393676074145e-01,4.998945797381599832e-01
1.342685370741483197e+00,3.723790290067559017e-01,5.001540078585872129e-01,3.723970904111257862e-01,4.998459915933156084e-01
1.381963927855711649e+00,3.617909980808802217e-01,5.002197656505416035e-01,3.618168905826427695e-01,4.997802331587122282e-01
1.421242484969940101e+00,3.517866854558039380e-01,5.003069296738200666e-01,3.518230156833584976e-01,4.996930678520633551e-01
1.460521042084168553e+00,3.423185880606138265e-01,5.004202917945456131e-01,3.423685690447270669e-01,4.995797032709846652e-01
1.499799599198397004e+00,3.333441097468338166e-01,5.005651776861111957e-01,3.334116361035677767e-01,4.994348128363814143e-01
1.539078156312625456e+00,3.248249316576453105e-01,5.007474101980404768e-01,3.249146521586854242e-01,4.992525722207198369e-01
1.578356713426853908e+00,3.167264776609852173e-01,5.009732591324242978e-01,3.168438634827902556e-01,4.990267092849600683e-01
1.617635270541082360e+00,3.090174587574013865e-01,5.012493791543017885e-01,3.091688658542454116e-01,4.987505657750936905e-01
1.656913827655310811e+00,3.016694833870833814e-01,5.015827378946865478e-01,3.018622076331964332e-01,4.984171686946698987e-01
1.696192384769539263e+00,2.946567229483802453e-01,5.019805365026376309e-01,2.948990469264866077e-01,4.980193090706585557e-01
1.735470941883767715e+00,2.879556237452582379e-01,5.024501249771844424e-01,2.882568543090416879e-01,4.975496257552904922e-01
1.774749498997996167e+00,2.815446581112119318e-01,5.029989145779246718e-01,2.819151541051643228e-01,4.970006919394447942e-01
1.814028056112224618e+00,2.754041086937424332e-01,5.036342894944857429e-01,2.758552984648996453e-01,4.963651021740330127e-01
1.853306613226453070e+00,2.695158808889664415e-01,5.043635197703407735e-01,2.700602694626572653e-01,4.956355578840968557e-01
1.892585170340681522e+00,2.638633392380164144e-01,5.051936772455842828e-01,2.645145052474813241e-01,4.948049495960313848e-01
1.931863727454909974e+00,2.584311642726013769e-01,5.061315560242609646e-01,2.592037469256865401e-01,4.938664343632861442e-01
1.971142284569138425e+00,2.532052268551471808e-01,5.071835987003264767e-01,2.541149033875079177e-01,4.928135071541937529e-01
2.010420841683366877e+00,2.481724775218213941e-01,5.083558293051966270e-01,2.492359317239688787e-01,4.916400652441251795e-01
2.049699398797595329e+00,2.433208487221976413e-01,5.096537936792560064e-01,2.445557312373395908e-01,4.903404649225190925e-01
2.088977955911823781e+00,2.386391681713954938e-01,5.110825077270889638e-01,2.400640493433785494e-01,4.889095700757140617e-01
2.128256513026052232e+00,2.341170818004815746e-01,5.126464137967663426e-01,2.357513979080013145e-01,4.873427924334861050e-01
2.167535070140280684e+00,2.297449850177714359e-01,5.143493452302860813e-01,2.316089787646480325e-01,4.856361234674089755e-01
2.206813627254509136e+00,2.255139611847488401e-01,5.161944989666723549e-01,2.276286173290493764e-01,4.837861581009486045e-01
2.246092184368737588e+00,2.214157263715716972e-01,5.181844159413463435e-01,2.238027033714431735e-01,4.817901105343523893e-01
