Q,mo_1,mo_2,mo_3,Li3_like_total,Na3_like_total
-1.00000000,-2.06025289,0.51025289,1.55000000,0.25000000,0.15000000
-0.99500000,-2.05960203,0.51235203,1.54725000,0.24526750,0.14701125
-0.99000000,-2.05895517,0.51445517,1.54450000,0.24057000,0.14404500
-0.98500000,-2.05831230,0.51656230,1.54175000,0.23590750,0.14110125
-0.98000000,-2.05767342,0.51867342,1.53900000,0.23128000,0.13818000
-0.97500000,-2.05703851,0.52078851,1.53625000,0.22668750,0.13528125
-0.97000000,-2.05640759,0.52290759,1.53350000,0.22213000,0.13240500
-0.96500000,-2.05578062,0.52503062,1.53075000,0.21760750,0.12955125
-0.96000000,-2.05515762,0.52715762,1.52800000,0.21312000,0.12672000
-0.95500000,-2.05453857,0.52928857,1.52525000,0.20866750,0.12391125
-0.95000000,-2.05392347,0.53142347,1.52250000,0.20425000,0.12112500
-0.94500000,-2.05331230,0.53356230,1.51975000,0.19986750,0.11836125
-0.94000000,-2.05270506,0.53570506,1.51700000,0.19552000,0.11562000
-0.93500000,-2.05210176,0.53785176,1.51425000,0.19120750,0.11290125
-0.93000000,-2.05150236,0.54000236,1.51150000,0.18693000,0.11020500
-0.92500000,-2.05090688,0.54215688,1.50875000,0.18268750,0.10753125
-0.92000000,-2.05031530,0.54431530,1.50600000,0.17848000,0.10488000
-0.91500000,-2.04972762,0.54647762,1.50325000,0.17430750,0.10225125
-0.91000000,-2.04914383,0.54864383,1.50050000,0.17017000,0.09964500
-0.90500000,-2.04856392,0.55081392,1.49775000,0.16606750,0.09706125
-0.90000000,-2.04798789,0.55298789,1.49500000,0.16200000,0.09450000
-0.89500000,-2.04741572,0.55516572,1.49225000,0.15796750,0.09196125
-0.89000000,-2.04684742,0.55734742,1.48950000,0.15397000,0.08944500
-0.88500000,-2.04628297,0.55953297,1.48675000,0.15000750,0.08695125
-0.88000000,-2.04572236,0.56172236,1.48400000,0.14608000,0.08448000
-0.87500000,-2.04516560,0.56391560,1.48125000,0.14218750,0.08203125
-0.87000000,-2.04461267,0.56611267,1.47850000,0.13833000,0.07960500
-0.86500000,-2.04406356,0.56831356,1.47575000,0.13450750,0.07720125
-0.86000000,-2.04351827,0.57051827,1.47300000,0.13072000,0.07482000
-0.85500000,-2.04297679,0.57272679,1.47025000,0.12696750,0.07246125
-0.85000000,-2.04243911,0.57493911,1.46750000,0.12325000,0.07012500
-0.84500000,-2.04190523,0.57715523,1.46475000,0.11956750,0.06781125
-0.84000000,-2.04137514,0.57937514,1.46200000,0.11592000,0.06552000
