beta,Cv_no_GP_over_kB,Cv_GP_over_kB
4.000000000000000222e-01,4.999881590105386686e-01,4.999717220705229836e-01
4.392785571142284740e-01,4.999969652898655359e-01,4.999915097989475754e-01
4.785571142284569257e-01,4.999992358594546604e-01,4.999974857960490793e-01
5.178356713426853775e-01,4.999998105196552523e-01,4.999992647397843992e-01
5.571142284569138292e-01,4.999999536436172676e-01,4.999997874174135215e-01
5.963927855711422810e-01,4.999999888007419235e-01,4.999999391645200131e-01
6.356713426853708437e-01,4.999999973774842954e-01,4.999999827005963127e-01
6.749498997995992955e-01,4.999999996815972514e-01,4.999999948383200277e-01
7.142284569138277472e-01,5.000000012590994913e-01,4.999999972408989413e-01
7.535070140280561990e-01,5.000000052868571743e-01,4.999999943044495798e-01
7.927855711422846507e-01,5.000000175190393303e-01,4.999999823700855828e-01
8.320641282565131025e-01,5.000000513172749850e-01,4.999999486527665904e-01
8.713426853707415543e-01,5.000001357549634928e-01,4.999998642369724577e-01
9.106212424849700060e-01,5.000003287968542987e-01,4.999996712009815991e-01
9.498997995991984578e-01,5.000007372456751753e-01,4.999992627537410139e-01
9.891783567134269095e-01,5.000015447564382098e-01,4.999984552433793250e-01
1.028456913827655361e+00,5.000030485777559042e-01,4.999969514220838906e-01
1.067735470941883813e+00,5.000057048212021016e-01,4.999942951783341583e-01
1.107014028056112265e+00,5.000101811000897678e-01,4.999898188983460945e-01
1.146292585170340717e+00,5.000174144593318992e-01,4.999825855357347137e-01
1.185571142284569168e+00,5.000286717680791915e-01,4.999713282175188844e-01
1.224849699398797620e+00,5.000456092600835678e-01,4.999543907007471533e-01
1.264128256513026072e+00,5.000703277295124316e-01,4.999296721705928648e-01
1.303406813627254524e+00,5.001054200215345746e-01,4.998945797381599832e-01
1.342685370741483197e+00,5.001540078585872129e-01,4.998459915933156084e-01
1.381963927855711649e+00,5.002197656505414924e-01,4.997802331587122282e-01
1.421242484969940101e+00,5.003069296738200666e-01,4.996930678520633551e-01
1.460521042084168553e+00,5.004202917945456131e-01,4.995797032709846652e-01
1.499799599198397004e+00,5.005651776861111957e-01,4.994348128363814143e-01
1.539078156312625456e+00,5.007474101980404768e-01,4.992525722207198369e-01
1.578356713426853908e+00,5.009732591324242978e-01,4.990267092849600683e-01
1.617635270541082360e+00,5.012493791543017885e-01,4.987505657750936905e-01
1.656913827655310811e+00,5.015827378946865478e-01,4.984171686946698987e-01
1.696192384769539263e+00,5.019805365026376309e-01,4.980193090706585557e-01
1.735470941883767715e+00,5.024501249771844424e-01,4.975496257552904922e-01
