N_bead,overlap_product_W0,overlap_product_W1,overlap_product_W2
4.000000000000000000e+00,1.000000000000000000e+00,-2.500000000000000555e-01,1.405799628556213978e-65
6.000000000000000000e+00,1.000000000000000000e+00,-4.218749999999999445e-01,1.562499999999999827e-02
8.000000000000000000e+00,1.000000000000000000e+00,-5.307900429449553537e-01,6.250000000000001388e-02
1.200000000000000000e+01,1.000000000000000000e+00,-6.596678783944640578e-01,1.779785156249999722e-01
1.600000000000000000e+01,1.000000000000000000e+00,-7.331334405473233229e-01,2.817380696895075420e-01
2.400000000000000000e+01,1.000000000000000000e+00,-8.136649122984914717e-01,4.351617097854533212e-01
3.200000000000000000e+01,1.000000000000000000e+00,-8.568769684138395348e-01,5.374846416487554235e-01
4.800000000000000000e+01,1.000000000000000000e+00,-9.022335544642635652e-01,6.620505895057113843e-01
6.400000000000000000e+01,1.000000000000000000e+00,-9.257627656040249287e-01,7.342381389980926487e-01
9.600000000000000000e+01,1.000000000000000000e+00,-9.498859376973182167e-01,8.140253868012193861e-01
1.280000000000000000e+02,1.000000000000000000e+00,-9.621768461033325393e-01,8.570366981788121175e-01
