"time_au","qm_adiabatic","qm_nonadiabatic","cmd","cmd_se","fssh","fssh_se"
"0","0","0","0","0","0","0"
"100","-5.73635069407452E-09","1.42386264518994E-08","0","0","0","0"
"200","-1.09953350923835E-08","-5.43451950982269E-09","0","0","0","0"
"300","-1.54371947250486E-08","-1.17669291771656E-08","0","0","0","0"
"400","-1.87959608465819E-08","9.93440761099522E-09","0","0","0","0"
"500","-2.09142041512033E-08","7.55108539572452E-09","0","0","0","0"
"600","-2.1748246471385E-08","-1.23605257166706E-08","0","0","0","0"
"700","-2.13562413063167E-08","-2.11883210555301E-09","0","0","0","0"
"800","-1.98737574166567E-08","1.26558095948651E-08","0","0","0","0"
"900","-1.7487050252486E-08","-3.13651530205015E-09","0","0","0","0"
"1000","-1.44068461780642E-08","-1.06103167911529E-08","0","0","0","0"
"1100","-1.08512444002147E-08","7.46031838198684E-09","0","0","0","0"
"1200","-7.04237560388522E-09","6.96102715041625E-09","0","0","0","0"
"1300","-3.22309188782885E-09","-1.00662671985722E-08","0","0","0","0"
"1400","3.1907001653216E-10","-2.76232510720672E-09","0","0","0","0"
"1500","3.28998368548012E-09","1.02481151763997E-08","0","0","0","0"
"1600","5.56460190171373E-09","-1.35204812237334E-09","0","0","0","0"
"1700","7.23672197956515E-09","-8.12442530030223E-09","0","0","0","0"
"1800","8.34304494346943E-09","5.1108142354058E-09","0","0","0","0"
"1900","8.93436546856812E-09","5.31514852868072E-09","0","0","0","0"
"2000","9.07769361734845E-09","-6.71853979957112E-09","0","0","0","0"
"2100","8.84632401133331E-09","-1.54263217204938E-09","0","0","0","0"
"2200","8.3103019543487E-09","6.8224374757314E-09","0","0","0","0"
"2300","7.55215503301921E-09","-1.78163509260562E-09","0","0","0","0"
"2400","6.64768722550766E-09","-5.33814336166663E-09","0","0","0","0"
"2500","5.66669889655064E-09","4.0611918957681E-09","0","0","0","0"
"2600","4.66801843916127E-09","2.72329709374056E-09","0","0","0","0"
"2700","3.73007566788067E-09","-5.18741438405181E-09","0","0","0","0"
"2800","2.92045688487762E-09","-1.32309612234143E-10","0","0","0","0"
"2900","1.61724610765637E-09","4.58173057389602E-09","0","0","0","0"
"3000","-4.64703936215789E-10","-2.37126053632961E-09","0","0","0","0"
"3100","-4.27430419958291E-10","-3.19537370331661E-09","0","0","0","0"
"3200","-2.34179691545994E-09","3.55317861350863E-09","0","0","0","0"
"3300","-3.9190254310251E-10","1.27626761274581E-09","0","0","0","0"
"3400","-3.70541796987999E-09","-3.83177053351063E-09","0","0","0","0"
"3500","2.6235379169633E-10","1.29724614829777E-09","0","0","0","0"
"3600","-1.150236671263E-08","3.20926707621622E-09","0","0","0","0"
"3700","-1.15475670777837E-09","-2.98616743009857E-09","0","0","0","0"
"3800","-1.42698475964694E-08","-1.50815880568905E-09","0","0","0","0"
"3900","-1.6778401534696E-08","1.06236560202424E-09","0","0","0","0"
"4000","1.46401405423814E-08","1.64142651622385E-09","0","0","0","0"
"4100","-1.25849400940994E-08","-4.37225709439859E-09","0","0","0","0"
"4200","-1.15731474090165E-08","2.83877379327611E-09","0","0","0","0"
"4300","5.23437921758054E-08","3.68851223196442E-09","0","0","0","0"
"4400","2.36785545659341E-08","3.33763004899654E-09","0","0","0","0"
"4500","-5.32258145204855E-08","-8.16973426030776E-09","0","0","0","0"
"4600","-6.69510050264479E-09","5.02300374104547E-09","0","0","0","0"
"4700","7.05279252021422E-08","-2.17554858630924E-09","0","0","0","0"
"4800","-4.25766648012387E-09","5.19165259509925E-09","0","0","0","0"
"4900","-1.23393011786905E-07","-2.42938697140793E-09","0","0","0","0"
