time,pmatrix_pop0,pmatrix_pop1,fssh_pop0,fssh_pop1,ehrenfest_pop0,ehrenfest_pop1,dvr_pop0,dvr_pop1
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.3283837878139996e-19,0.99999999999999
5.0,2.1426568630432704e-89,1.0,0.0,1.0,2.159638461533372e-89,1.0,1.6288897653080475e-19,0.9999999999999905
10.0,1.4823368240091812e-88,1.0,0.0,1.0,1.505712316167028e-88,0.9999999999999993,2.000261710072816e-19,0.9999999999999905
15.0,5.988538098682712e-88,1.0,0.0,1.0,6.12549131250604e-88,0.9999999999999994,2.4558731989434345e-19,0.9999999999999898
20.0,1.98081606578921e-87,1.0,0.0,1.0,2.0381817442449836e-87,0.9999999999999991,3.0114934772867565e-19,0.9999999999999903
25.0,5.952167944279063e-87,1.0,0.0,1.0,6.154151024088874e-87,0.9999999999999987,3.6857405990840184e-19,0.99999999999999
30.0,1.698720728697836e-86,1.0,0.0,1.0,1.7629547736543724e-86,0.9999999999999984,4.500627059475462e-19,0.9999999999999902
35.0,4.707293963445261e-86,1.0,0.0,1.0,4.898948170244857e-86,0.9999999999999989,5.48221832495781e-19,0.9999999999999898
40.0,1.2816196826210366e-85,1.0,0.0,1.0,1.3364798915968068e-85,0.999999999999999,6.661427185691978e-19,0.9999999999999896
45.0,3.4509973607724894e-85,1.0,0.0,1.0,3.603759219189922e-85,0.9999999999999991,8.07497359354912e-19,0.9999999999999902
50.0,9.224588882956263e-85,1.0,0.0,1.0,9.64210794237674e-85,0.9999999999999993,9.766543655709215e-19,0.9999999999999899
55.0,2.4529467708211784e-84,1.0,0.0,1.0,2.565609641298529e-84,0.9999999999999992,1.1788190515015985e-18,0.9999999999999899
60.0,6.4966796043727205e-84,1.0,0.0,1.0,6.797973252231474e-84,0.9999999999999984,1.4202026158580847e-18,0.9999999999999898
65.0,1.714953146200381e-83,1.0,0.0,1.0,1.795007030813752e-83,0.9999999999999977,1.7082265313971825e-18,0.99999999999999
70.0,4.51372800256141e-83,1.0,0.0,1.0,4.725392669443933e-83,0.999999999999998,2.0517693857720943e-18,0.9999999999999902
75.0,1.1847634258930909e-82,1.0,0.0,1.0,1.2405103949387787e-82,0.9999999999999982,2.4614647089331287e-18,0.9999999999999898
80.0,3.1016318162560826e-82,1.0,0.0,1.0,3.2479731782753804e-82,0.9999999999999984,2.9500604815854564e-18,0.9999999999999896
85.0,8.099110707876533e-82,1.0,0.0,1.0,8.482151308809e-82,0.9999999999999987,3.532852445722183e-18,0.9999999999999898
90.0,2.109533531081852e-81,1.0,0.0,1.0,2.209521190013296e-81,0.9999999999999989,4.228206302236371e-18,0.9999999999999896
95.0,5.480804055910229e-81,1.0,0.0,1.0,5.741133337311651e-81,0.9999999999999991,5.058186751110202e-18,0.9999999999999901
100.0,1.4204110762900054e-80,1.0,0.0,1.0,1.4880196272763495e-80,0.9999999999999989,6.049314294355448e-18,0.9999999999999895
105.0,3.671953162552024e-80,1.0,0.0,1.0,3.8470971859924405e-80,0.9999999999999996,7.233475509747815e-18,0.9999999999999899
110.0,9.468779851432453e-80,1.0,0.0,1.0,9.921374678157e-80,0.9999999999999993,8.649017049624363e-18,0.9999999999999897
115.0,2.4355934801209005e-79,1.0,0.0,1.0,2.5522599231321466e-79,0.9999999999999997,1.0342059324589965e-17,0.9999999999999897
120.0,6.249271801406051e-79,1.0,0.0,1.0,6.549259957722442e-79,1.0000000000000002,1.2368073148232054e-17,0.9999999999999898
125.0,1.5994391938789808e-78,1.0,0.0,1.0,1.6763846488288843e-78,1.0000000000000009,1.4793770375663367e-17,0.9999999999999893
130.0,4.0833785608992445e-78,1.0,0.0,1.0,4.2802493614757497e-78,1.0000000000000009,1.7699369559182982e-17,0.9999999999999899
135.0,1.0398843525759827e-77,1.0,0.0,1.0,1.0901299448945581e-77,1.0000000000000004,2.1181309417429945e-17,0.9999999999999897
140.0,2.6415805090874764e-77,1.0,0.0,1.0,2.769498610763103e-77,1.0000000000000007,2.5355495553671035e-17,0.9999999999999899
145.0,6.693542239366616e-77,1.0,0.0,1.0,7.018392085109013e-77,1.0000000000000009,3.036118349673172e-17,0.9999999999999897
150.0,1.691848492641914e-76,1.0,0.0,1.0,1.7741389323349045e-76,1.0000000000000009,3.6365619628703916e-17,0.9999999999999896
