time,pop1,pop2,pop3,pop1_stderr,pop2_stderr,pop3_stderr
0.0,1.0,-3.811765717879704e-17,-4.0338103228047355e-17,0.0,2.98676972216135e-18,2.9697553198372775e-18
10.0,1.0,1.4247862149356175e-17,3.404683942183813e-17,0.0,1.1311866733141811e-17,1.0650728405329397e-17
20.0,1.0,-2.4054832200211726e-18,1.3692750637043598e-17,0.0,1.5954493171926353e-17,1.4229522855343025e-17
30.0,1.0,-1.5358085173981332e-17,1.3877787807814457e-17,0.0,1.7888450341018935e-17,1.721168975438855e-17
40.0,1.0,-1.6838382540148208e-17,6.47630097698008e-18,0.0,2.0566110875354273e-17,2.0202904245733565e-17
50.0,1.0,-2.312964634635743e-17,-1.295260195396016e-18,0.0,2.248100093261486e-17,2.2112396108060307e-17
60.0,1.0,-2.0724163126336256e-17,-2.4054832200211726e-18,0.0,2.5291397827180616e-17,2.4433621826307707e-17
70.0,1.0,-1.0547118733938987e-17,-6.29126380620922e-18,0.0,2.6870665732257735e-17,2.6506306143943686e-17
80.0,1.0,-1.1102230246251566e-17,-1.6838382540148208e-17,0.0,2.8760038818242024e-17,2.828309750219661e-17
90.0,1.0,-8.141635513917815e-18,-2.0169051614023678e-17,0.0,3.1047421382577334e-17,2.990477573741514e-17
100.0,1.0,-9.80697005085555e-18,-2.997602166487923e-17,0.0,3.3455230483597306e-17,3.0765466604609156e-17
110.0,1.0,1.9984014443252817e-17,-2.0354088784794537e-18,0.0,3.358876762228631e-17,3.135525518564745e-17
120.0,1.0,1.850371707708594e-17,-1.6653345369377347e-18,0.0,3.578193418626843e-17,3.273575315652865e-17
130.0,1.0,3.3861802251067274e-17,1.0917193075480705e-17,0.0,3.526566248452061e-17,3.321270144468759e-17
140.0,1.0,1.905882858939852e-17,-3.3306690738754695e-18,0.0,3.620286017346559e-17,3.3926412618704334e-17
150.0,1.0,6.47630097698008e-18,-7.956598343146956e-18,0.0,3.7562507686750406e-17,3.5033570223846515e-17
160.0,1.0,-1.2212453270876722e-17,-1.1657341758564143e-17,0.0,3.8429632256054806e-17,3.6200085875303875e-17
