n_beads,method,nmts,omega_max,completed_steps,max_relative_energy_error,final_relative_energy_error,runtime_seconds,stable
128,normal_mode_fft,1,128.0000000000,600,1.1796674465e-13,1.1796674465e-13,0.0320669001,1
128,bead_verlet,1,128.0000000000,3,1.0000000000e+06,1.0000000000e+06,0.0001311002,0
128,bead_verlet,2,128.0000000000,3,1.0000000000e+06,1.0000000000e+06,0.0001732998,0
128,bead_verlet,3,128.0000000000,600,3.8511281599e-01,3.8511281599e-01,0.0472691001,1
128,bead_verlet,4,128.0000000000,600,2.0523673328e-01,1.7525041993e-01,0.0614831999,1
128,bead_verlet,6,128.0000000000,600,9.9740688018e-02,5.9822579886e-02,0.0886603000,1
128,bead_verlet,8,128.0000000000,600,5.7831235709e-02,4.3723643544e-02,0.1155816000,1
128,bead_verlet,12,128.0000000000,600,2.6117977595e-02,1.9512145630e-02,0.1760841999,1
128,bead_verlet,16,128.0000000000,600,1.4759533957e-02,9.9123668983e-03,0.2292533999,1
128,bead_verlet,24,128.0000000000,600,6.5796134944e-03,3.2017265773e-03,0.3350795000,1
