n_beads,method,nmts,omega_max,completed_steps,max_relative_energy_error,final_relative_energy_error,runtime_seconds,stable
8,normal_mode_fft,1,8.0000000000,600,2.3785539675e-14,2.3592161304e-14,0.0291307000,1
8,bead_verlet,1,8.0000000000,600,2.0397402738e-02,1.5264729783e-02,0.0200457999,1
8,bead_verlet,1,8.0000000000,600,2.0397402738e-02,1.5264729783e-02,0.0203566998,1
16,normal_mode_fft,1,16.0000000000,600,5.4388572589e-14,5.4388572589e-14,0.0272160000,1
16,bead_verlet,1,16.0000000000,600,6.6604606089e-02,4.7507982080e-02,0.0209324001,1
16,bead_verlet,1,16.0000000000,600,6.6604606089e-02,4.7507982080e-02,0.0198794000,1
32,normal_mode_fft,1,32.0000000000,600,1.6965331814e-14,1.6965331814e-14,0.0308689000,1
32,bead_verlet,1,32.0000000000,600,2.4656835079e-01,1.0495975172e-01,0.0205281998,1
32,bead_verlet,2,32.0000000000,600,6.0675956503e-02,4.4204343007e-02,0.0333680999,1
64,normal_mode_fft,1,64.0000000000,600,1.2468576773e-13,1.2468576773e-13,0.0301283998,1
64,bead_verlet,1,64.0000000000,6,1.0000000000e+06,1.0000000000e+06,0.0002031000,0
64,bead_verlet,4,64.0000000000,600,5.4793532318e-02,3.6002381123e-02,0.0610451000,1
128,normal_mode_fft,1,128.0000000000,600,1.1796674465e-13,1.1796674465e-13,0.0329509000,1
128,bead_verlet,1,128.0000000000,3,1.0000000000e+06,1.0000000000e+06,0.0001075999,0
128,bead_verlet,7,128.0000000000,600,7.4726476996e-02,3.4992218863e-02,0.1051442998,1
256,normal_mode_fft,1,256.0000000000,600,7.2487649929e-14,7.2487649929e-14,0.0381286999,1
256,bead_verlet,1,256.0000000000,2,1.0000000000e+06,1.0000000000e+06,0.0001594999,0
256,bead_verlet,13,256.0000000000,600,7.5517450362e-02,5.8410033682e-02,0.1879474001,1
512,normal_mode_fft,1,512.0000000000,600,1.0715009516e-13,1.0715009516e-13,0.0482783001,1
512,bead_verlet,1,512.0000000000,1,1.0000000000e+06,1.0000000000e+06,0.0000422001,0
512,bead_verlet,26,512.0000000000,600,7.6154456691e-02,5.9005637248e-02,0.4069482002,1
