P,canonical_potential,canonical_relative_error,required_covariance_boost,applied_covariance_boost,toy_shaped_potential,toy_shaped_relative_error
1,0.2500000000,7.5016767507e-01,3.0026846016,0.2500000000,0.3125000000,6.8770959383e-01
2,0.4500000000,5.5030181512e-01,1.2237136676,0.2500000000,0.5625000000,4.3787726890e-01
4,0.7083333333,2.9214174602e-01,0.4127122123,0.2500000000,0.8854166667,1.1517718252e-01
6,0.8329695886,1.6758908437e-01,0.2013297534,0.2013297534,1.0006711504,0.0000000000e+00
8,0.8952380952,1.0536234119e-01,0.1177709659,0.1177709659,1.0006711504,0.0000000000e+00
12,0.9494166020,5.1220171959e-02,0.0539853088,0.0539853088,1.0006711504,0.0000000000e+00
16,0.9708486183,2.9802530167e-02,0.0307180044,0.0307180044,1.0006711504,0.0000000000e+00
24,0.9870806172,1.3581418025e-02,0.0137684126,0.0137684126,1.0006711504,0.0000000000e+00
32,0.9929577704,7.7082066808e-03,0.0077680847,0.0077680847,1.0006711504,0.0000000000e+00
48,0.9972207946,3.4480416187e-03,0.0034599717,0.0034599717,1.0006711504,0.0000000000e+00
64,0.9987259148,1.9439309635e-03,0.0019477172,0.0019477172,1.0006711504,0.0000000000e+00
