time,rpmd_correlation,exact_kubo,error
0.0000000000,0.0310435408,0.0312500000,-0.0002064592
0.0187500000,0.0309463664,0.0311621506,-0.0002157841
0.0375000000,0.0306752004,0.0308990962,-0.0002238958
0.0562500000,0.0302315671,0.0304623158,-0.0002307487
0.0750000000,0.0296179610,0.0298542653,-0.0002363043
0.0937500000,0.0288378320,0.0290783632,-0.0002405312
0.1125000000,0.0278955662,0.0281389719,-0.0002434058
0.1312500000,0.0267964613,0.0270413732,-0.0002449119
0.1500000000,0.0255466970,0.0257917380,-0.0002450410
0.1687500000,0.0241532999,0.0243970922,-0.0002437923
0.1875000000,0.0226241041,0.0228652772,-0.0002411730
0.2062500000,0.0209677074,0.0212049052,-0.0002371978
0.2250000000,0.0191934226,0.0194253115,-0.0002318889
0.2437500000,0.0173112254,0.0175365017,-0.0002252762
0.2625000000,0.0153316982,0.0155490952,-0.0002173970
0.2812500000,0.0132659707,0.0134742661,-0.0002082955
0.3000000000,0.0111256570,0.0113236798,-0.0001980229
0.3187500000,0.0089227908,0.0091094277,-0.0001866369
0.3375000000,0.0066697574,0.0068439590,-0.0001742016
0.3562500000,0.0043792242,0.0045400111,-0.0001607868
0.3750000000,0.0020640695,0.0022105376,-0.0001464681
0.3937500000,-0.0002626902,-0.0001313644,-0.0001313258
0.4125000000,-0.0025879730,-0.0024725278,-0.0001154452
0.4312500000,-0.0048987052,-0.0047997897,-0.0000989155
0.4500000000,-0.0071818952,-0.0071000655,-0.0000818297
0.4687500000,-0.0094247059,-0.0093604221,-0.0000642838
0.4875000000,-0.0116145274,-0.0115681510,-0.0000463765
0.5062500000,-0.0137390479,-0.0137108395,-0.0000282084
0.5250000000,-0.0157863225,-0.0157764408,-0.0000098817
0.5437500000,-0.0177448406,-0.0177533411,0.0000085005
0.5625000000,-0.0196035908,-0.0196304257,0.0000268349
0.5812500000,-0.0213521224,-0.0213971409,0.0000450185
0.6000000000,-0.0229806047,-0.0230435536,0.0000629489
0.6187500000,-0.0244798816,-0.0245604071,0.0000805255
0.6375000000,-0.0258415237,-0.0259391730,0.0000976493
0.6562500000,-0.0270578754,-0.0271720994,0.0001142240
0.6750000000,-0.0281220979,-0.0282522544,0.0001301566
0.6937500000,-0.0290282077,-0.0291735650,0.0001453573
0.7125000000,-0.0297711103,-0.0299308512,0.0001597409
0.7312500000,-0.0303466290,-0.0305198552,0.0001732263
0.7500000000,-0.0307515278,-0.0309372655,0.0001857377
0.7687500000,-0.0309835304,-0.0311807353,0.0001972049
0.7875000000,-0.0310413323,-0.0312488956,0.0002075633
0.8062500000,-0.0309246085,-0.0311413632,0.0002167547
0.8250000000,-0.0306340154,-0.0308587428,0.0002247274
